repo,layer,state_management,persistence,multi_agent,hitl,observability,release_cadence_signal,maintainer_signal,license_signal,prod_signal_score_100,demo_risk_score_100,key_risks,owlclaw_takeaway,source_urls
langchain-ai/langgraph,orchestrator-core,"StateGraph + durable execution + checkpoint semantics in docs","Explicit durable execution and memory/checkpoint narrative","Graph-based orchestration supporting complex branching/subgraphs","Interrupts + human state inspection/edit","LangSmith integration for traces/runtime metrics","Recent tagged releases (1.0.10 and cli 0.4.14 around late Feb/early Mar 2026)","25k+ stars, 4k+ forks, recent push activity","MIT clear",90,25,"Tight coupling risk with LangChain ecosystem choices","Use as reference for long-running stateful graph runtime and recovery semantics",https://raw.githubusercontent.com/langchain-ai/langgraph/main/README.md|https://api.github.com/repos/langchain-ai/langgraph|https://api.github.com/repos/langchain-ai/langgraph/releases?per_page=3
microsoft/autogen,orchestrator-core,"Core API with message passing/event-driven agents and distributed runtime","Memory support appears in release notes and framework modules","AgentChat + group chat + agent-as-tool patterns","Studio and human-in-loop patterns documented in ecosystem","Observability samples and telemetry integrations documented","Stable release train shown (0.7.3/0.7.4/0.7.5)","55k+ stars and strong fork network","Repo metadata shows CC-BY-4.0 while code license split noted in README legal section",82,45,"License interpretation risk for mixed docs/code licensing","Adopt multi-agent messaging/runtime patterns but keep license/legal review gate",https://raw.githubusercontent.com/microsoft/autogen/main/README.md|https://api.github.com/repos/microsoft/autogen|https://api.github.com/repos/microsoft/autogen/releases?per_page=3
crewAIInc/crewAI,orchestrator-core,"Flows advertise secure/consistent state with event-driven control","Flow abstraction designed for production automations","Crews + Flows dual model for autonomous collaboration + deterministic control","Human input docs and process controls exposed in README","AMP control plane advertises traces/logs/metrics","Frequent 1.10.0 -> 1.10.1 releases in short interval","45k+ stars and high activity","MIT clear for OSS core",86,34,"Enterprise capability claims partly tied to AMP/commercial plane","Benchmark as high-velocity orchestrator candidate for process-control heavy scenarios",https://raw.githubusercontent.com/crewAIInc/crewAI/main/README.md|https://api.github.com/repos/crewAIInc/crewAI|https://api.github.com/repos/crewAIInc/crewAI/releases?per_page=3
deepset-ai/haystack,orchestrator-rag-hybrid,"Explicit pipeline/agent workflow control with routing and modular graph components","Memory/retrieval/routing components in modular architecture","Supports agent workflows plus RAG pipelines","Human review not central in README but enterprise platform implies governance features","Tracing/instrumentation + enterprise observability/governance narrative","v2.25.1/v2.25.2 release cadence in late Feb/Mar 2026","24k+ stars, long-lived mature repo, low issue pressure vs peers","Apache-2.0 clear",88,24,"Potential complexity from broad component surface","Use as blueprint for modular, vendor-agnostic orchestration + retrieval composition",https://raw.githubusercontent.com/deepset-ai/haystack/main/README.md|https://api.github.com/repos/deepset-ai/haystack|https://api.github.com/repos/deepset-ai/haystack/releases?per_page=3
openai/openai-agents-python,agent-sdk,"Session abstractions and run-state model for agent workflows","Session support (including optional redis extras) and run context persistence patterns","Agents-as-tools and handoffs first-class","Built-in HITL mechanism documented","Built-in tracing model documented in core concepts","Very recent 0.11.0/0.11.1 releases on 2026-03-09","19k+ stars with high recent commit velocity","MIT clear",89,28,"Provider strategy drift risk despite provider-agnostic claim","Adopt for lightweight runtime + handoff primitives while isolating provider adapters",https://raw.githubusercontent.com/openai/openai-agents-python/main/README.md|https://api.github.com/repos/openai/openai-agents-python|https://api.github.com/repos/openai/openai-agents-python/releases?per_page=3
microsoft/agent-framework,orchestrator-emerging,"Graph workflows with checkpointing and time-travel claims","Workflow checkpointing explicitly highlighted","Multi-agent workflows across Python and .NET","Human-in-the-loop in workflow highlights","OpenTelemetry integration highlighted in README","No mature release cadence evidence in sampled data; repo still rapid","7k+ stars but high open issues count suggests fast growth pressure","MIT clear",74,46,"Young project with high issue backlog and migration churn risk","Track as strategic contender for polyglot stacks, not as sole primary in first production wave",https://raw.githubusercontent.com/microsoft/agent-framework/main/README.md|https://api.github.com/repos/microsoft/agent-framework
run-llama/llama_index,data-memory-layer,"Data framework with indexing and retrieval abstractions used by agentic apps","Explicit persist/reload examples (storage_context.persist/load)","LlamaAgents positioning exists but orchestration is not primary core in README","HITL not primary capability in README","Observability appears via integrations ecosystem, not core first message","Strong ongoing push activity; large install ecosystem","47k+ stars and broad integration network","MIT clear",80,33,"Can bloat stack if used as full framework instead of focused memory/data layer","Use as pluggable memory/retrieval subsystem under OwlClaw runtime boundary",https://raw.githubusercontent.com/run-llama/llama_index/main/README.md|https://api.github.com/repos/run-llama/llama_index
langgenius/dify,application-platform,"Visual workflow + agent runtime plus operational state via worker architecture","Pause/resume and workflow execution architecture documented in release notes","Supports workflows + agent mode + tool ecosystem","Human-in-the-loop node and pause/resume architecture explicitly released","LLMOps and monitoring promoted as key feature","Fast release train (1.13.0 and 1.14.0-rc1)","131k+ stars and very high ecosystem pull","NOASSERTION/Other in repo metadata (Dify OSS license with additional conditions)",78,58,"License/commercial boundary and product-platform coupling risk","Use as productized benchmark for UX/ops patterns, avoid hard runtime coupling early",https://raw.githubusercontent.com/langgenius/dify/main/README.md|https://api.github.com/repos/langgenius/dify|https://api.github.com/repos/langgenius/dify/releases?per_page=3
mastra-ai/mastra,orchestrator-ts,"Graph-based workflow syntax with suspend/resume and storage-backed state","Storage-backed pause/resume called out explicitly","Agents + workflows + MCP support in TS stack","Suspend/resume approval and user input pattern built in","Built-in evals and observability claims","Strong recent push activity; no sampled release cadence here","21k+ stars and fast rising TS footprint","Dual license with enterprise code in ee path and NOASSERTION repo metadata",76,52,"License split and fast-moving API surface for young framework","Track for TS-native OwlClaw SDK path and MCP-first integrations",https://raw.githubusercontent.com/mastra-ai/mastra/main/README.md|https://api.github.com/repos/mastra-ai/mastra
modelcontextprotocol/python-sdk,protocol-boundary,"Protocol primitives for tools/resources/prompts/context and transport semantics","Server/client lifecycle and transport-level durability patterns","Enables multi-agent/tool interop via protocol, not orchestration policy","Supports elicitation/context operations but not workflow-level HITL policy engine","Protocol-level logs/progress/context APIs for instrumentation hooks","High momentum with active pushes and broad adoption","22k+ stars for infra protocol layer","MIT clear",84,22,"Spec evolution and version-compatibility management overhead","Treat MCP as mandatory tool boundary to reduce framework lock-in",https://raw.githubusercontent.com/modelcontextprotocol/python-sdk/main/README.md|https://api.github.com/repos/modelcontextprotocol/python-sdk
