control_id,domain,control_item,target_state,current_status,evidence_url,gap,severity,owner,sprint,acceptance_test
C001,Budgeting,Global budget ceiling enabled,Proxy/global budget with reset window is enforced,Planned,https://docs.litellm.ai/docs/proxy/users,No global kill-switch budget yet,High,Platform,SPR-1,Exceed global budget and verify request rejection
C002,Budgeting,Per-tenant budget,Every tenant has monthly budget + soft/hard thresholds,Planned,https://docs.litellm.ai/docs/proxy/users,No tenant-level enforcement map,High,FinOps+Platform,SPR-1,Trigger tenant overage and verify degrade/deny behavior
C003,Budgeting,Authoritative usage ledger,Usage-based entitlement source of truth is deployed,Planned,https://openmeter.io/docs/billing/entitlements/overview,No entitlement ledger integrated,High,FinOps,SPR-1,Compare gateway usage and ledger totals within 1 percent drift
C004,RateLimit,Per-key RPM/TPM limits,All keys enforce rpm/tpm with strict checks,Planned,https://docs.litellm.ai/docs/proxy/load_balancing,Key limits undefined for most consumers,High,Platform,SPR-1,Burst above limit and verify 429 plus retry-after
C005,RateLimit,Per-team limits,Team-level quota and parallelism limits enforced,Planned,https://docs.litellm.ai/docs/proxy/users,No shared team limits policy,High,Platform,SPR-1,Two keys in same team exceed quota and get throttled
C006,Routing,Policy-based model routing,Routing by latency/cost/capability configured,Partial,https://docs.litellm.ai/docs/proxy/load_balancing,Routing strategy not codified in policy file,High,ML Platform,SPR-1,Send test classes and verify expected model selection
C007,Routing,Region-aware routing,EU and non-EU traffic separated by policy,Planned,https://docs.litellm.ai/docs/proxy/reliability,No region tags and no compliance split route,High,Security+Platform,SPR-2,EU-tagged request never exits EU providers
C008,Failover,Primary-secondary fallback chain,Fallback chain defined for every critical model group,Partial,https://docs.litellm.ai/docs/proxy/reliability,Fallbacks missing for long-context and realtime flows,High,Platform,SPR-1,Disable primary provider and verify auto failover
C009,Failover,Context-window fallback,Over-context requests fallback to long-context model,Planned,https://docs.litellm.ai/docs/proxy/reliability,No dedicated context fallback rules,Medium,ML Platform,SPR-2,Submit over-limit prompt and verify non-failing fallback
C010,Failover,Content-policy fallback,Policy-blocked responses fallback to compliant model,Planned,https://docs.litellm.ai/docs/proxy/reliability,No policy fallback map defined,Medium,Safety,SPR-2,Trigger policy violation and verify alternate provider path
C011,CircuitBreaker,Gateway-level cooldown,Cooldown/allowed_fails configured per deployment,Planned,https://docs.litellm.ai/docs/proxy/reliability,Cooldown defaults not tuned,High,Platform,SPR-1,Inject repeated failures and verify cooldown applied
C012,CircuitBreaker,Mesh-level circuit breaker,Outlier and ejection policies active in service mesh,Planned,https://istio.io/latest/docs/tasks/traffic-management/circuit-breaking/,No DestinationRule baseline deployed,High,SRE,SPR-2,Force 5xx and verify host ejection metrics
C013,CircuitBreaker,Data-plane outlier detection,Envoy outlier config and event logging enabled,Planned,https://www.envoyproxy.io/docs/envoy/latest/intro/arch_overview/upstream/outlier,No ejection event logging pipeline,Medium,SRE,SPR-2,Inspect ejection event log after synthetic failure
C014,RetryTimeout,Timeout policy matrix,Per-route timeout matrix exists by use-case class,Planned,https://portkey.ai/features/ai-gateway,No timeout classes for sync vs batch flows,High,Platform,SPR-1,Requests above timeout cut off deterministically
C015,RetryTimeout,Retry with idempotency guard,Retries enabled only for safe operations,Planned,https://portkey.ai/features/ai-gateway,No idempotency-key policy,High,App Eng,SPR-2,Non-idempotent call is never retried automatically
C016,LoadBalancing,Cross-instance shared state,Router state shared via Redis in multi-instance mode,Planned,https://docs.litellm.ai/docs/proxy/load_balancing,No shared redis for multi-proxy deployment,High,Platform,SPR-1,Scale to 3 replicas and verify consistent rate decisions
C017,Canary,Inference canary rollout,KServe canary percent and promotion gates enabled,Planned,https://kserve.github.io/website/latest/modelserving/v1beta1/rollout/canary/,No canary gate in model release process,High,ML Platform,SPR-2,10 percent canary then automatic promote on SLO pass
C018,Autoscaling,Event-driven autoscaling,KEDA policies for queue/latency triggers in place,Planned,https://keda.sh/docs/latest/concepts/scaling-deployments/,No event-driven scaler profile tuned,Medium,SRE,SPR-2,Load spike scales replicas within target reaction time
C019,Audit,Request ID standardization,Every request has immutable global request_id,Planned,https://docs.litellm.ai/docs/proxy/logging,No enforced ID propagation contract,High,Platform,SPR-1,Sample logs show 100 percent request_id presence
C020,Audit,Trace correlation,traceparent propagated gateway to runtime where safe,Planned,https://docs.litellm.ai/docs/proxy/logging,Traceparent not propagated consistently,Medium,SRE,SPR-2,Single request visible as one trace across all services
C021,Audit,Security-sensitive logging controls,Message redaction and key-info redaction enabled,Planned,https://docs.litellm.ai/docs/proxy/logging,PII redaction policy not enforced globally,High,Security,SPR-1,Redacted fields never appear in sink exports
C022,Observability,Metrics baseline,SLO dashboards for latency/errors/cost are live,Partial,https://github.com/prometheus/prometheus,Dashboards exist but lack SLO burn-rate alerts,High,SRE,SPR-1,Alert fires on synthetic burn-rate breach
C023,Observability,Trace/eval baseline,Langfuse traces and eval feedback loop active,Planned,https://langfuse.com/docs,No production eval sampling policy,Medium,ML Platform,SPR-2,Daily eval report generated with pass-fail gates
C024,Observability,Gateway analytics,Gateway logs include provider/model/cost/latency dimensions,Partial,https://docs.helicone.ai/introduction,Dimensions incomplete for chargeback tags,Medium,FinOps,SPR-2,Cost report segmented by tenant and model
