claim_id,source_claim_file,claim_text,counterargument,boundary_condition_not_hold,counter_source_url,verdict,recommendation_for_c
C4-B-001,30-analysis/eval/w5_eval_kpi_catalog.csv,"task_success_rate >=0.90 is universal quality target","A single global target can penalize hard tasks and inflate easy-task confidence","Mixed task portfolio with different difficulty distributions",https://api.github.com/repos/huggingface/lighteval,partial,Define tiered targets by task class and language
C4-B-002,30-analysis/eval/w5_eval_kpi_catalog.csv,"factuality_score >=0.85 is adequate release gate","Judge-model variance and rubric drift can make fixed threshold unreliable","No calibrated judge agreement or periodic rubric audits",https://api.github.com/repos/openai/evals,partial,Add inter-rater agreement and calibration KPI
C4-B-003,30-analysis/eval/w5_eval_kpi_catalog.csv,"tool_call_accuracy >=0.95 is sufficient for safe operation","High aggregate accuracy can hide catastrophic failure on high-risk tools","Toolset includes write/exec operations with asymmetric risk",https://api.github.com/repos/promptfoo/promptfoo,partial,Track risk-weighted tool accuracy metric
C4-B-004,30-analysis/eval/w5_eval_kpi_catalog.csv,"error_rate >3% auto-rollback is robust","Error-centric trigger misses semantic failures and silent degradations","Responses remain 200 but violate policy/relevance",https://api.github.com/repos/vibrantlabsai/ragas,partial,Add semantic and policy breach rollback triggers
C4-B-005,30-analysis/eval/w5_eval_kpi_catalog.csv,"cost_per_success >1.25 baseline should trigger model routing","Cost-only routing can degrade quality if quality constraints are weak","No quality floor in cost optimization policy",https://api.github.com/repos/BerriAI/litellm,partial,Require quality floor before any cost-driven reroute
C4-B-006,30-analysis/eval/w5_eval_p0_execution_board.csv,"trace_id coverage >=99% is enough for incident debugging","Coverage metric can be high while critical spans are missing","Trace exists but key release_unit fields absent",https://api.github.com/repos/open-telemetry/opentelemetry-specification,partial,Add required-field completeness KPI
C4-B-007,30-analysis/eval/w5_eval_p0_execution_board.csv,"golden_core 120 samples makes PR gate meaningful","Sample count alone does not ensure representativeness","Domain skew and stale examples dominate dataset",https://api.github.com/repos/mlflow/mlflow,partial,Add freshness/diversity and business-critical coverage checks
C4-B-008,30-analysis/eval/w5_eval_p0_execution_board.csv,"adversarial_set 80 samples is enough safety baseline","Attack evolution can outpace fixed small corpus","No continuous threat-intel ingestion",https://api.github.com/repos/NVIDIA/garak,partial,Add rolling adversarial refresh SLA and coverage matrix
C4-B-009,30-analysis/eval/w5_eval_p0_execution_board.csv,"rollback within 10 minutes is feasible as a universal SLO","Universal rollback SLO ignores approval chains and data migration dependencies","Cross-team controlled releases with manual approvals",https://api.github.com/repos/comet-ml/opik,partial,Set incident-class rollback SLO bands
C4-B-010,30-analysis/security/w6_ai_security_control_module_mapping.csv,"unauthorized_tool_call_success_rate = 0 is complete TB-01 metric","Zero-success can coexist with large unknown-unknown attack surface","Attack suite lacks multi-step chained abuse scenarios",https://api.github.com/repos/Azure/PyRIT,partial,Pair with adversarial scenario coverage KPI
C4-B-011,30-analysis/security/w6_ai_security_control_module_mapping.csv,"high_risk_tool_block_rate >=0.95 is acceptable target","5% miss on high-risk tools can still be unacceptable for regulated workflows","Financial/health/legal high-impact operations",https://api.github.com/repos/open-policy-agent/opa,partial,Raise target by risk tier (e.g., 99%+ for regulated paths)
C4-B-012,30-analysis/security/w6_ai_security_control_module_mapping.csv,"host_escape_incidents = 0 validates sandbox sufficiency","Incident count is lagging; absence of incidents does not prove resistance","No active breakout testing regimen",https://api.github.com/repos/e2b-dev/E2B,partial,Add proactive sandbox breakout test cadence KPI
C4-B-013,30-analysis/security/w6_ai_security_control_module_mapping.csv,"secret_or_pii_leakage_events = 0 is enough OV-02 metric","Detection blind spots can hide leaks despite zero event count","No red-team seeded canaries and sink-side DLP verification",https://api.github.com/repos/microsoft/presidio,partial,Add canary token leakage test and downstream validation
C4-B-014,30-analysis/security/w6_ai_security_control_module_mapping.csv,"unsigned_artifact_deployments = 0 completes PG-02","Signed but malicious or vulnerable artifacts can still pass","No policy for vulnerability severity and provenance quality",https://api.github.com/repos/sigstore/cosign,partial,Combine signature gate with vuln/provenance quality gates
C4-B-015,30-analysis/security/w6_ai_security_governance_map.csv,"Archived projects should only be corpus references","Archived projects with no-license metadata can still create legal uncertainty even as corpus","No explicit legal handling for test-data licensing",https://api.github.com/repos/trailofbits/copilot-prompt-injection-demo,partial,Add legal review for benchmark/corpus ingestion
C4-B-016,30-analysis/security/w6_ai_security_governance_map.csv,"NOASSERTION projects can be conditionally included with legal review","Repeated NOASSERTION in core dependencies increases decision latency and operational uncertainty","Fast release cadence requiring deterministic dependency policy",https://api.github.com/repos/langfuse/langfuse,partial,Define deadline-based replace-or-approve policy
C4-B-017,30-analysis/eval/w5_eval_kpi_catalog.csv,"regression_backfill_sla >=0.95 is sufficient governance KPI","SLA can be met with low-value samples and poor labeling quality","Backfilled incidents missing root-cause labels",https://api.github.com/repos/Arize-ai/phoenix,partial,Add label_quality and replay_success KPIs
C4-B-018,30-analysis/security/w6_ai_security_control_module_mapping.csv,"90-day rollout sequence is execution-ready as is","Sequence lacks explicit resource contention fallback and parallelization strategy","Concurrent audits/incidents consuming same owners",https://api.github.com/repos/openfga/openfga,fails,Add critical path + fallback staffing plan before execution sign-off
