repo,layer,stars_estimate,activity_estimate,license,data_ingestion,indexing_strategy,retrieval_quality,scalability,ops_complexity,source_url
langchain-ai/langchain,framework,128k+,very_high,MIT,high,medium,medium,medium,medium,https://api.github.com/repos/langchain-ai/langchain
run-llama/llama_index,framework,47k+,high,MIT,very_high,high,high,medium,medium,https://api.github.com/repos/run-llama/llama_index
deepset-ai/haystack,framework,24k+,high,Apache-2.0,high,high,high,high,medium,https://api.github.com/repos/deepset-ai/haystack
infiniflow/ragflow,framework,74k+,very_high,Apache-2.0,high,high,high,high,high,https://api.github.com/repos/infiniflow/ragflow
HKUDS/LightRAG,framework,29k+,very_high,MIT,medium,high,high,medium,medium,https://api.github.com/repos/HKUDS/LightRAG
microsoft/graphrag,framework,31k+,high,MIT,medium,high,high,medium,medium,https://api.github.com/repos/microsoft/graphrag
langgenius/dify,platform,131k+,very_high,NOASSERTION,high,medium,medium,high,medium,https://api.github.com/repos/langgenius/dify
pathwaycom/llm-app,framework,56k+,medium,MIT,very_high,high,high,high,high,https://api.github.com/repos/pathwaycom/llm-app
chatchat-space/Langchain-Chatchat,framework,37k+,medium,Apache-2.0,medium,medium,medium,medium,medium,https://api.github.com/repos/chatchat-space/Langchain-Chatchat
QuivrHQ/quivr,framework,10k+,medium,Apache-2.0,high,medium,medium,medium,medium,https://api.github.com/repos/QuivrHQ/quivr
Unstructured-IO/unstructured,ingestion,40k+,high,Apache-2.0,very_high,low,medium,high,medium,https://api.github.com/repos/Unstructured-IO/unstructured
explodinggradients/ragas,evaluation,10k+,high,Apache-2.0,medium,low,high,medium,medium,https://api.github.com/repos/explodinggradients/ragas
milvus-io/milvus,vector_db,43k+,very_high,Apache-2.0,medium,very_high,high,very_high,high,https://api.github.com/repos/milvus-io/milvus
qdrant/qdrant,vector_db,29k+,very_high,Apache-2.0,medium,high,high,high,medium,https://api.github.com/repos/qdrant/qdrant
weaviate/weaviate,vector_db,15k+,high,BSD-3-Clause,medium,high,high,high,high,https://api.github.com/repos/weaviate/weaviate
chroma-core/chroma,vector_db,26k+,high,Apache-2.0,high,medium,medium,medium,low,https://api.github.com/repos/chroma-core/chroma
lancedb/lancedb,vector_db,20k+,high,Apache-2.0,high,high,high,high,medium,https://api.github.com/repos/lancedb/lancedb
pgvector/pgvector,vector_db,15k+,high,PostgreSQL,medium,medium,medium,medium,low,https://api.github.com/repos/pgvector/pgvector
vespa-engine/vespa,search_engine,14k+,high,Apache-2.0,medium,high,high,very_high,high,https://api.github.com/repos/vespa-engine/vespa
opensearch-project/OpenSearch,search_engine,12k+,very_high,Apache-2.0,medium,high,high,very_high,high,https://api.github.com/repos/opensearch-project/OpenSearch
elastic/elasticsearch,search_engine,76k+,very_high,NOASSERTION,medium,very_high,high,very_high,high,https://api.github.com/repos/elastic/elasticsearch
redis/redis,search_engine,73k+,very_high,NOASSERTION,medium,medium,medium,very_high,medium,https://api.github.com/search/repositories?q=topic:vector-search&sort=stars&order=desc&per_page=100
meilisearch/meilisearch,search_engine,56k+,very_high,NOASSERTION,medium,medium,medium,high,low,https://api.github.com/search/repositories?q=topic:vector-database&sort=stars&order=desc&per_page=100
typesense/typesense,search_engine,25k+,high,GPL-3.0,medium,medium,medium,high,low,https://api.github.com/search/repositories?q=topic:semantic-search&sort=stars&order=desc&per_page=100
quickwit-oss/quickwit,search_engine,9k+,high,Apache-2.0,medium,high,medium,high,medium,https://api.github.com/repos/quickwit-oss/quickwit
apache/lucene,index_engine,3k+,high,Apache-2.0,low,very_high,high,very_high,high,https://api.github.com/repos/apache/lucene
apache/solr,search_engine,1k+,high,Apache-2.0,medium,high,medium,high,high,https://api.github.com/repos/apache/solr
tantivy-search/tantivy,index_engine,12k+,high,MIT,low,high,medium,high,medium,https://api.github.com/repos/tantivy-search/tantivy
marqo-ai/marqo,vector_db,8k+,medium,Apache-2.0,medium,high,high,high,medium,https://api.github.com/repos/marqo-ai/marqo
vdaas/vald,vector_db,4k+,medium,Apache-2.0,medium,high,medium,high,high,https://api.github.com/repos/vdaas/vald
oramasearch/orama,search_engine,9k+,high,Apache-2.0,medium,medium,medium,medium,low,https://api.github.com/repos/oramasearch/orama
infiniflow/infinity,vector_db,4k+,high,Apache-2.0,medium,high,high,high,medium,https://api.github.com/search/repositories?q=topic:hnsw&sort=stars&order=desc&per_page=100
facebookresearch/faiss,index_engine,39k+,high,MIT,low,very_high,high,high,medium,https://api.github.com/repos/facebookresearch/faiss
nmslib/hnswlib,index_engine,5k+,medium,Apache-2.0,low,high,medium,high,low,https://api.github.com/repos/nmslib/hnswlib
spotify/annoy,index_engine,14k+,medium,Apache-2.0,low,medium,medium,medium,low,https://api.github.com/repos/spotify/annoy
nmslib/nmslib,index_engine,3k+,medium,Apache-2.0,low,high,medium,high,medium,https://api.github.com/repos/nmslib/nmslib
milvus-io/knowhere,index_engine,3k+,medium,Apache-2.0,low,high,medium,high,medium,https://api.github.com/repos/milvus-io/knowhere
erikbern/ann-benchmarks,index_benchmark,4k+,medium,MIT,low,low,high,low,low,https://api.github.com/repos/erikbern/ann-benchmarks
castorini/pyserini,retrieval_quality,4k+,medium,Apache-2.0,low,medium,high,medium,medium,https://api.github.com/repos/castorini/pyserini
