project,kind,category,maintenance_status,archived,stars_estimate,last_update_estimate,license_or_authority,why_relevant,url
protectai/rebuff,project,输入防护,archived,true,1.4k,2024-08,Apache-2.0,Prompt Injection detector但已归档可作历史基线,https://api.github.com/repos/protectai/rebuff
trailofbits/copilot-prompt-injection-demo,project,输入防护,archived,true,10,2025-08,no-license,真实攻击演示用于红队回归用例,https://api.github.com/repos/trailofbits/copilot-prompt-injection-demo
NVIDIA/garak,project,输入防护,active,false,7.2k,2026-03,Apache-2.0,LLM漏洞扫描器覆盖越狱与提示攻击探针,https://api.github.com/repos/NVIDIA/garak
promptfoo/promptfoo,project,输入防护,active,false,10.9k,2026-03,MIT,可把Prompt Injection与越权场景纳入CI回归,https://api.github.com/repos/promptfoo/promptfoo
Azure/PyRIT,project,输入防护,active,false,3.5k,2026-03,MIT,面向生成式AI红队测试的自动化框架,https://api.github.com/repos/Azure/PyRIT
protectai/llm-guard,project,输入防护,active,false,2.6k,2025-12,MIT,输入输出过滤器组件化便于嵌入Agent网关,https://api.github.com/repos/protectai/llm-guard
superagent-ai/superagent,project,输入防护,active,false,6.5k,2026-02,MIT,强调Prompt Injection与数据泄露联防,https://api.github.com/repos/superagent-ai/superagent
invariantlabs-ai/invariant,project,输入防护,active,false,395,2026-01,Apache-2.0,面向Agent的安全约束与规则检查,https://api.github.com/repos/invariantlabs-ai/invariant
ZenGuard-AI/fast-llm-security-guardrails,project,输入防护,active,false,152,2026-02,MIT,轻量Trust Layer可作边缘输入防火墙,https://api.github.com/repos/ZenGuard-AI/fast-llm-security-guardrails
microsoft/BIPIA,project,输入防护,active,false,108,2024-04,NOASSERTION,间接注入鲁棒性基准可补齐RAG页面注入测试,https://api.github.com/repos/microsoft/BIPIA
liu00222/Open-Prompt-Injection,project,输入防护,active,false,402,2025-10,MIT,可用于构建注入攻防对抗基准集,https://api.github.com/repos/liu00222/Open-Prompt-Injection
Tencent/AI-Infra-Guard,project,输入防护,active,false,3.1k,2026-03,NOASSERTION,覆盖MCP与Agent技能扫描适合平台级红队入口,https://api.github.com/repos/Tencent/AI-Infra-Guard
msoedov/agentic_security,project,输入防护,active,false,1.8k,2026-02,Apache-2.0,Agent漏洞扫描与fuzz能力可纳入上线闸门,https://api.github.com/repos/msoedov/agentic_security
