project,project_type,source_list,protocol_maturity,tool_discovery_mechanism,deployment_mode,compatibility_issues,adoption_signal,url,source_url
modelcontextprotocol/csharp-sdk,sdk,official_servers_readme,high (official sdk),"initialize capability negotiation + tools/list",local stdio + remote streamable HTTP,NOASSERTION license metadata and rapid spec-tracking burden,high stars and active push cadence,https://github.com/modelcontextprotocol/csharp-sdk,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/go-sdk,sdk,official_servers_readme,high (official sdk),"initialize capability negotiation + tools/list",local stdio + remote streamable HTTP,NOASSERTION license metadata and transport migration complexity (HTTP+SSE -> streamable HTTP),active and low open issues relative to size,https://github.com/modelcontextprotocol/go-sdk,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/java-sdk,sdk,official_servers_readme,high (official sdk),"initialize capability negotiation + tools/list",local stdio + remote streamable HTTP,feature parity lag risk for newest extensions,active with Spring AI collaboration signal,https://github.com/modelcontextprotocol/java-sdk,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/kotlin-sdk,sdk,official_servers_readme,medium_high (official sdk),"initialize capability negotiation + tools/list",local stdio + remote streamable HTTP,multiplatform edge-case drift and NOASSERTION license metadata,healthy activity but smaller contributor base,https://github.com/modelcontextprotocol/kotlin-sdk,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/php-sdk,sdk,official_servers_readme,medium_high (official sdk),"initialize capability negotiation + tools/list",local stdio + remote streamable HTTP,newer sdk maturity and NOASSERTION license metadata,fast growth from recent launch,https://github.com/modelcontextprotocol/php-sdk,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/python-sdk,sdk,official_servers_readme,high (official sdk),"initialize capability negotiation + tools/list",local stdio + remote streamable HTTP,high issue volume indicates integration churn risk,largest sdk traction in ecosystem,https://github.com/modelcontextprotocol/python-sdk,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/ruby-sdk,sdk,official_servers_readme,medium (official sdk),"initialize capability negotiation + tools/list",local stdio + remote streamable HTTP,smaller ecosystem footprint and NOASSERTION license metadata,steady maintenance with moderate stars,https://github.com/modelcontextprotocol/ruby-sdk,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/rust-sdk,sdk,official_servers_readme,medium_high (official sdk),"initialize capability negotiation + tools/list",local stdio + remote streamable HTTP,async/runtime differences across clients can create behavior divergence,active and relatively low open issues,https://github.com/modelcontextprotocol/rust-sdk,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/swift-sdk,sdk,official_servers_readme,medium (official sdk),"initialize capability negotiation + tools/list",local stdio + remote streamable HTTP,apple-platform skew and NOASSERTION license metadata,good momentum for iOS/macOS hosts,https://github.com/modelcontextprotocol/swift-sdk,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/typescript-sdk,sdk,official_servers_readme,high (official sdk),"initialize capability negotiation + tools/list",local stdio + remote streamable HTTP,NOASSERTION license metadata and frequent breaking-edge updates,core sdk for many server templates,https://github.com/modelcontextprotocol/typescript-sdk,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
