repo,layer,tier,total_score,relevance,activity,maturity,risk,migration_cost,adoption_reason,primary_risk,decision,owlclaw_relation,evidence_file,evidence_url,conflict_flag,conflict_note
langchain-ai/langgraph,Agent编排,P0,91,95,88,90,32,40,状态化编排与恢复能力强,框架绑定风险,可采纳,作为OwlClaw主编排内核,w1_agent_orchestration_map.csv,https://github.com/langchain-ai/langgraph,N,
langchain-ai/langchain,Agent编排,P1,80,88,90,82,48,55,生态集成面最广,版本与依赖变化快,可采纳,作为工具生态接入层,w1_agent_orchestration_map.csv,https://github.com/langchain-ai/langchain,N,
microsoft/autogen,Agent编排,P1,78,84,86,79,50,58,多Agent模式成熟,对话回合成本易失控,可采纳,用于协作型Agent试点,w1_agent_orchestration_map.csv,https://github.com/microsoft/autogen,N,
crewAIInc/crewAI,Agent编排,P1,77,83,85,76,52,56,角色分工直观上手快,复杂流程可测性不足,可采纳,用于业务快速编排,w1_agent_orchestration_map.csv,https://github.com/crewAIInc/crewAI,N,
openai/openai-agents-python,Agent编排,P1,75,82,84,74,55,54,快速构建工具调用链路,供应商依赖较强,可采纳,用于快速验证助手链路,w1_agent_orchestration_map.csv,https://github.com/openai/openai-agents-python,N,
OpenHands/OpenHands,Agent编排,P2,66,74,78,68,63,62,端到端Agent工程参考价值高,定位在多文档存在冲突,观察,用于DevAgent能力对标,github_ai_intel_scan_2026-03-09.csv,https://github.com/OpenHands/OpenHands,Y,高价值与弱相关判定冲突
browser-use/browser-use,Agent编排,P2,63,70,80,64,66,60,浏览器执行能力强,UI脆弱且合规风险高,观察,用于网页任务执行插件层,github_ai_external_deep_scan_2026-03-09.csv,https://github.com/browser-use/browser-use,N,
FoundationAgents/MetaGPT,Agent编排,P2,61,68,72,63,64,61,多角色工程范式有启发,生产稳定性证据不足,观察,用于组织化Agent模式参考,w1_agent_orchestration_map.csv,https://github.com/FoundationAgents/MetaGPT,N,
mastra-ai/mastra,Agent编排,P2,60,67,73,62,62,64,全栈Agent DX较好,长期成熟度待验证,观察,用于开发者体验对标,w1_agent_orchestration_map.csv,https://github.com/mastra-ai/mastra,N,
bytedance/deer-flow,Agent编排,观察池,54,62,66,58,69,67,工作流思路有参考价值,外部落地样本偏少,观察,用于流程自动化思路补充,w1_agent_orchestration_map.csv,https://github.com/bytedance/deer-flow,N,
microsoft/agent-framework,Agent编排,P2,62,69,71,63,63,62,企业框架化能力较好,生态黏性较高,观察,用于企业策略框架参考,w1_agent_orchestration_map.csv,https://github.com/microsoft/agent-framework,N,
VoltAgent/voltagent,Agent编排,观察池,53,61,65,56,70,66,项目轻量易试验,规模化证据不足,观察,用于小团队原型加速,w1_agent_orchestration_map.csv,https://github.com/VoltAgent/voltagent,N,
openai/swarm,Agent编排,观察池,52,60,64,55,72,63,多Agent交互概念清晰,生产治理能力薄弱,观察,用于实验性协作模式,w1_agent_orchestration_map.csv,https://github.com/openai/swarm,N,
run-llama/llama_deploy,Agent编排,观察池,50,58,62,54,72,68,部署路径可复用,与主栈重叠度高,观察,用于部署参考而非主选,w1_agent_orchestration_map.csv,https://github.com/run-llama/llama_deploy,N,
LazyAGI/LazyLLM,Agent编排,观察池,49,56,61,53,74,67,低门槛可快速探索,工程化深度不足,观察,用于探索性原型,w1_agent_orchestration_map.csv,https://github.com/LazyAGI/LazyLLM,N,
Agent-Field/agentfield,Agent编排,观察池,47,54,59,50,76,69,概念可补充视角,持续活跃度偏弱,不建议,与OwlClaw主线关联弱,w1_agent_orchestration_map.csv,https://github.com/Agent-Field/agentfield,N,
agentscope-ai/agentscope-runtime,Agent编排,观察池,51,58,63,55,73,65,运行时思路可参考,生态体量有限,观察,用于runtime思路借鉴,w1_agent_orchestration_map.csv,https://github.com/agentscope-ai/agentscope-runtime,N,
google/adk-python,Agent编排,P2,64,71,76,66,63,60,开发工具链较完整,跨栈迁移成本中等,观察,用于SDK能力补位,w5_eval_observability_map.csv,https://github.com/google/adk-python,N,
a2aproject/A2A,MCP协议,观察池,55,62,68,58,70,66,协议互通方向有价值,标准成熟度待观察,观察,与MCP互操作策略相关,github_ai_intel_scan.csv,https://github.com/a2aproject/A2A,N,
deepset-ai/haystack,RAG数据,P2,65,73,80,70,60,62,RAG与Agent联动成熟,组件面较大治理复杂,观察,用于RAG工作流构建,w1_agent_orchestration_map.csv,https://github.com/deepset-ai/haystack,N,
modelcontextprotocol/modelcontextprotocol,MCP协议,P0,90,95,88,89,36,42,MCP规范是互操作核心,标准演进可能带来适配改动,可采纳,作为OwlClaw工具协议基线,github_ai_intel_scan_2026-03-09.csv,https://github.com/modelcontextprotocol/modelcontextprotocol,N,
modelcontextprotocol/servers,MCP协议,P0,89,94,90,86,38,45,服务生态覆盖广,第三方server质量参差,可采纳,作为工具能力目录,w2_mcp_ecosystem_map.csv,https://github.com/modelcontextprotocol/servers,N,
modelcontextprotocol/python-sdk,MCP协议,P0,88,92,89,85,39,44,Python主线实现最实用,协议升级需要跟进,可采纳,作为OwlClaw Python主SDK,w2_mcp_ecosystem_map.csv,https://github.com/modelcontextprotocol/python-sdk,N,
modelcontextprotocol/typescript-sdk,MCP协议,P1,80,85,87,79,45,51,前端/Node生态关键补齐,多语言一致性维护有成本,可采纳,作为TS工具接入基座,w2_mcp_ecosystem_map.csv,https://github.com/modelcontextprotocol/typescript-sdk,N,
mark3labs/mcp-go,MCP协议,P1,74,79,81,73,50,57,Go侧实现可用于高性能服务,生态深度略弱于Python,可采纳,用于Go服务接入MCP,w2_mcp_ecosystem_map.csv,https://github.com/mark3labs/mcp-go,N,
tadata-org/fastapi_mcp,MCP协议,P1,73,78,79,72,51,58,FastAPI结合效率高,生产治理能力需自补,可采纳,用于内部MCP服务模板,w2_mcp_ecosystem_map.csv,https://github.com/tadata-org/fastapi_mcp,N,
lastmile-ai/mcp-agent,MCP协议,P2,67,72,74,68,58,61,Agent与MCP结合紧密,成熟度中等,观察,用于Agent工具调用封装,w2_mcp_ecosystem_map.csv,https://github.com/lastmile-ai/mcp-agent,N,
modelcontextprotocol/create-typescript-server,MCP协议,P2,64,70,72,65,61,63,脚手架利于标准化,偏开发期工具,观察,用于server模板起步,repos_seed_round1.csv,https://github.com/modelcontextprotocol/create-typescript-server,N,
wong2/awesome-mcp-servers,MCP协议,观察池,56,63,70,58,67,64,服务器目录利于发现,仅索引不提供治理能力,观察,用于候选库发现,repos_seed_round1.csv,https://github.com/wong2/awesome-mcp-servers,N,
docker/mcp-servers,MCP协议,观察池,55,62,68,57,69,66,镜像化交付便于试用,并非治理框架,观察,用于快速PoC部署,repos_seed_round1.csv,https://github.com/docker/mcp-servers,N,
mcp-use/mcp-use,MCP协议,观察池,54,60,66,56,70,66,接入方式简化明显,生态稳定性待证实,观察,用于探索性接入,repos_seed_round1.csv,https://github.com/mcp-use/mcp-use,N,
QuantGeekDev/mcp-framework,MCP协议,观察池,53,59,65,55,71,67,框架化思路有价值,社区势能相对较弱,观察,用于原型实验,repos_seed_round1.csv,https://github.com/QuantGeekDev/mcp-framework,N,
brave/brave-search-mcp-server,MCP协议,观察池,50,56,64,52,73,68,搜索能力可直接复用,单用途组件价值有限,观察,作为外部搜索连接器,w2_mcp_ecosystem_map.csv,https://github.com/brave/brave-search-mcp-server,N,
zencoderai/slack-mcp-server,MCP协议,观察池,49,55,63,51,74,68,协同场景集成方便,场景专用性强,观察,作为协同通知连接器,w2_mcp_ecosystem_map.csv,https://github.com/zencoderai/slack-mcp-server,N,
langfuse/mcp-server-langfuse,MCP协议,观察池,52,58,66,54,71,65,评测观测链路可打通,连接器维护成本不可忽视,观察,用于MCP调用可观测补位,w5_eval_observability_map.csv,https://github.com/langfuse/mcp-server-langfuse,N,
modelcontextprotocol/csharp-sdk,MCP协议,观察池,52,58,63,54,70,67,企业语言覆盖补充,与当前主栈契合度一般,观察,面向.NET团队扩展,w2_mcp_ecosystem_map.csv,https://github.com/modelcontextprotocol/csharp-sdk,N,
modelcontextprotocol/go-sdk,MCP协议,观察池,53,59,64,55,69,66,Go支持完善协议覆盖,与mcp-go路线有重叠,观察,面向Go生态备选,w2_mcp_ecosystem_map.csv,https://github.com/modelcontextprotocol/go-sdk,N,
modelcontextprotocol/java-sdk,MCP协议,观察池,52,58,63,54,71,67,Java生态补齐,当前OwlClaw主线不在Java,观察,企业Java接入备选,w2_mcp_ecosystem_map.csv,https://github.com/modelcontextprotocol/java-sdk,N,
modelcontextprotocol/rust-sdk,MCP协议,观察池,52,58,63,54,70,67,Rust高性能潜力,团队采用门槛较高,观察,性能敏感组件备选,w2_mcp_ecosystem_map.csv,https://github.com/modelcontextprotocol/rust-sdk,N,
qdrant/qdrant,RAG数据,P0,87,90,86,84,40,48,向量检索与过滤平衡好,索引调参不当会降级,可采纳,作为OwlClaw默认向量库,w3_rag_data_map.csv,https://github.com/qdrant/qdrant,N,
run-llama/llama_index,RAG数据,P1,79,84,85,78,48,56,RAG编排与数据连接成熟,组件面广导致治理复杂,可采纳,作为检索编排层,w3_rag_data_map.csv,https://github.com/run-llama/llama_index,N,
milvus-io/milvus,RAG数据,P1,77,82,84,76,50,58,大规模向量能力强,集群运维复杂度高,可采纳,高规模检索场景备选,w3_rag_data_map.csv,https://github.com/milvus-io/milvus,N,
weaviate/weaviate,RAG数据,P1,76,81,83,75,52,58,Schema和模块生态完善,治理与运维门槛中等偏高,可采纳,复杂语义检索场景,w3_rag_data_map.csv,https://github.com/weaviate/weaviate,N,
chroma-core/chroma,RAG数据,P2,69,75,78,69,58,62,轻量RAG上手快,规模化证据相对不足,观察,用于中小规模知识库,w3_rag_data_map.csv,https://github.com/chroma-core/chroma,N,
lancedb/lancedb,RAG数据,P2,67,73,76,68,59,63,本地化与开发体验好,分布式扩展边界明显,观察,用于单机和边缘场景,w3_rag_data_map.csv,https://github.com/lancedb/lancedb,N,
pgvector/pgvector,RAG数据,P2,68,74,82,70,57,60,复用Postgres资产成本低,极致向量性能有限,观察,已有PG体系场景,w3_rag_data_map.csv,https://github.com/pgvector/pgvector,N,
elastic/elasticsearch,RAG数据,P2,66,72,88,74,60,62,关键词+向量一体化,向量检索极限性能非最优,观察,混合检索存量迁移,w3_rag_data_map.csv,https://github.com/elastic/elasticsearch,N,
opensearch-project/OpenSearch,RAG数据,P2,64,70,82,71,62,63,开源搜索栈易复用,向量与RAG优化需补齐,观察,搜索平台扩展至RAG,w3_rag_data_map.csv,https://github.com/opensearch-project/OpenSearch,N,
vespa-engine/vespa,RAG数据,P2,63,69,80,70,62,64,检索与排序能力强,学习曲线偏陡,观察,高定制检索平台,w3_rag_data_map.csv,https://github.com/vespa-engine/vespa,N,
redis/redis,RAG数据,观察池,58,64,92,78,66,67,基础设施成熟度高,并非RAG专用方案,观察,可作缓存与会话层,w3_rag_data_map.csv,https://github.com/redis/redis,N,
meilisearch/meilisearch,观察池,55,60,73,62,68,67,搜索体验友好,向量与RAG深度能力有限,观察,轻量检索补位,w3_rag_data_map.csv,https://github.com/meilisearch/meilisearch,N,
typesense/typesense,观察池,53,58,70,60,72,67,快速部署简洁,许可证与能力边界需核实,观察,轻量搜索备选,w3_rag_data_map.csv,https://github.com/typesense/typesense,N,
quickwit-oss/quickwit,观察池,52,57,68,58,72,68,日志检索性能优,与RAG主线耦合弱,不建议,与OwlClaw关联较弱,w3_rag_data_map.csv,https://github.com/quickwit-oss/quickwit,N,
apache/lucene,观察池,50,55,90,80,75,73,检索基础能力强,不是即用RAG平台,观察,作为检索底层知识参考,w3_rag_data_map.csv,https://github.com/apache/lucene,N,
apache/solr,观察池,49,54,84,74,75,74,企业搜索成熟,与现代RAG栈整合成本高,不建议,对OwlClaw主线价值有限,w3_rag_data_map.csv,https://github.com/apache/solr,N,
tantivy-search/tantivy,观察池,50,56,72,62,74,70,Rust检索内核性能好,生态和工具链较窄,观察,性能探索备选,w3_rag_data_map.csv,https://github.com/tantivy-search/tantivy,N,
marqo-ai/marqo,观察池,54,60,67,58,71,68,向量搜索体验好,长期稳定性待验证,观察,小规模语义检索备选,w3_rag_data_map.csv,https://github.com/marqo-ai/marqo,N,
vdaas/vald,观察池,52,57,66,57,73,69,云原生向量方向明确,实践门槛偏高,观察,云原生检索探索,w3_rag_data_map.csv,https://github.com/vdaas/vald,N,
oramasearch/orama,观察池,51,56,65,56,73,69,轻量化快,生产规模边界不清晰,观察,前期试验性检索,w3_rag_data_map.csv,https://github.com/oramasearch/orama,N,
infiniflow/infinity,观察池,50,55,64,55,74,70,数据库+检索融合可参考,成熟度证据不足,观察,探索型数据栈,w3_rag_data_map.csv,https://github.com/infiniflow/infinity,N,
facebookresearch/faiss,观察池,58,64,86,75,68,72,ANN基础库性能优秀,需要大量工程封装,观察,底层向量算法参考,w3_rag_data_map.csv,https://github.com/facebookresearch/faiss,N,
nmslib/hnswlib,观察池,55,60,78,69,70,71,近邻算法库成熟,工程能力需自建,观察,底层索引能力补充,w3_rag_data_map.csv,https://github.com/nmslib/hnswlib,N,
spotify/annoy,观察池,52,57,74,66,72,72,轻量ANN实现简单,精度与性能边界明显,观察,低复杂度ANN场景,w3_rag_data_map.csv,https://github.com/spotify/annoy,N,
nmslib/nmslib,观察池,51,56,72,65,73,73,经典ANN工具包,社区热度相对下降,观察,算法参考库,w3_rag_data_map.csv,https://github.com/nmslib/nmslib,N,
milvus-io/knowhere,观察池,50,55,70,63,74,73,Milvus底层引擎可学习,单独采纳价值有限,观察,作为Milvus内核认知,w3_rag_data_map.csv,https://github.com/milvus-io/knowhere,N,
beir-cellar/beir,评测观测,观察池,57,63,72,67,69,69,检索基准价值高,与线上效果存在偏差,观察,用于离线检索评测,w3_rag_data_map.csv,https://github.com/beir-cellar/beir,N,
erikbern/ann-benchmarks,评测观测,观察池,54,60,70,64,71,71,ANN对比参考价值高,与业务场景映射有限,观察,用于底层检索选型验证,w3_rag_data_map.csv,https://github.com/erikbern/ann-benchmarks,N,
castorini/pyserini,观察池,53,59,69,63,72,72,检索实验工具成熟,生产化能力弱,观察,用于检索实验,w3_rag_data_map.csv,https://github.com/castorini/pyserini,N,
