repo,layer,category,stars_estimate,activity_estimate,license,throughput,cost_governance,multi_model_strategy,sla_resilience,observability,key_gateway_controls,why_relevant,url
BerriAI/litellm,AI Gateway,Gateway/Router,~38.3k,Very High (pushed <7d),NOASSERTION (Other),High (proxy + load balancing),High (cost tracking),High (100+ LLM APIs),Medium-High (fallback via routing patterns),High (logging),budget|routing|failover|audit,LLM gateway baseline with explicit cost/loadbalancing/logging claims,https://github.com/BerriAI/litellm
Portkey-AI/gateway,AI Gateway,Gateway/Router,~10.8k,High (pushed <14d),MIT,High (blazing fast positioning),Medium,High (route to 200+ LLMs),Medium-High,Medium-High,route|guardrails|provider failover,Direct multi-provider model router for production AI gateway patterns,https://github.com/Portkey-AI/gateway
Kong/kong,API+AI Gateway,Gateway,~42.9k,High (pushed <14d),Apache-2.0,High,Medium,Medium-High (AI gateway positioning),High,High (ecosystem tooling),rate-limit|routing|plugins|audit integration,Mature gateway control plane with AI gateway direction,https://github.com/Kong/kong
apache/apisix,API+AI Gateway,Gateway,~16.3k,High (pushed <14d),Apache-2.0,High,Medium,Medium,High,High,loadbalancing|plugins|traffic policy|audit integration,Cloud-native API/AI gateway with strong traffic governance primitives,https://github.com/apache/apisix
kgateway-dev/kgateway,API+AI Gateway,K8s Gateway,~5.4k,High (pushed <14d),Apache-2.0,High,Medium,Medium,High,Medium,k8s ingress|routing|policy,Kubernetes-native gateway stack relevant for cluster deployment model,https://github.com/kgateway-dev/kgateway
nginx/nginx,Gateway Data Plane,Reverse Proxy/LB,~29.6k,High (pushed <14d),BSD-2-Clause,High,Low-Medium,Low,High,Medium,load-balancer|reverse-proxy|health checks,Classic high-performance data plane for ingress and failover,https://github.com/nginx/nginx
haproxy/haproxy,Gateway Data Plane,Load Balancer,~6.4k,High (pushed <14d),NOASSERTION (Other),High,Low-Medium,Low,High,Medium,load-balancer|proxy|failover patterns,Battle-tested LB for SLA enforcement and failover paths,https://github.com/haproxy/haproxy
traefik/traefik,Gateway Data Plane,App Proxy/LB,~62.1k,High (pushed <14d),MIT,High,Low-Medium,Low,High,Medium-High,routing|load-balancer|service discovery,Popular cloud-native proxy for dynamic routing and edge controls,https://github.com/traefik/traefik
envoyproxy/envoy,Gateway Data Plane,Service Proxy,~27.7k,Very High (pushed <7d),Apache-2.0,Very High,Low-Medium,Low,Very High,High,traffic policy|rate limit integration|resiliency,Core proxy used by many service meshes and AI gateways,https://github.com/envoyproxy/envoy
envoyproxy/ratelimit,Gateway Control,Rate Limit Service,~2.6k,Very High (pushed <7d),Apache-2.0,Medium,Medium (quota/limit basis),Low,High,Medium,rate-limit|quota,Essential building block for budget and abuse control,https://github.com/envoyproxy/ratelimit
kubernetes/ingress-nginx,K8s Ingress,Ingress Controller,~19.5k,Very High (pushed <7d),Apache-2.0,High,Low-Medium,Low,High,Medium,ingress routing|nginx policies,Mainstream ingress pattern for production SLA and traffic control,https://github.com/kubernetes/ingress-nginx
nginx/nginx-gateway-fabric,K8s Gateway,Gateway API Impl,~1.0k,High (pushed <14d),Apache-2.0,Medium-High,Low-Medium,Low,High,Medium,gateway-api routing,Gateway API aligned path for standardized policy management,https://github.com/nginx/nginx-gateway-fabric
emissary-ingress/emissary,K8s API Gateway,Envoy Gateway,~4.5k,High (pushed <14d),Apache-2.0,High,Medium,Low-Medium,High,Medium-High,envoy routing|ingress policy,Envoy-based API gateway option for K8s-native traffic governance,https://github.com/emissary-ingress/emissary
istio/istio,Service Mesh,Traffic & Resilience,~38.1k,Very High (pushed <7d),Apache-2.0,High,Medium (policy-based),Low,Very High (circuit breaker/fault injection),High,circuit-breaker|request-routing|fault-injection,Strong SLA tooling for gateway-to-backend resilience,https://github.com/istio/istio
linkerd/linkerd2,Service Mesh,Traffic & Security,~11.3k,Very High (pushed <7d),Apache-2.0,High,Low-Medium,Low,High,High,retries|mesh reliability,Simpler mesh option for reliable service communication,https://github.com/linkerd/linkerd2
cilium/cilium,Networking Data Plane,eBPF Network/LB,~23.9k,Very High (pushed <7d),Apache-2.0,Very High,Low-Medium,Low,High,High,loadbalancing|network policy|observability,eBPF networking boosts gateway throughput and network observability,https://github.com/cilium/cilium
Kong/kong-operator,K8s Ops,Gateway Operator,~0.1k,Very High (pushed <7d),Apache-2.0,Medium,Medium,Low-Medium,High,Medium,declarative ops|policy rollout,Operator pattern for standardized gateway lifecycle/SLA operations,https://github.com/Kong/kong-operator
vllm-project/vllm,Inference Runtime,LLM Serving,~72.5k,Very High (pushed <7d),Apache-2.0,Very High (high-throughput claim),Medium (efficiency),Medium (serve many models),Medium,Medium,serving efficiency|autoscaling integration,Core serving backend for high-throughput gateway stacks,https://github.com/vllm-project/vllm
sgl-project/sglang,Inference Runtime,LLM Serving,~24.3k,Very High (pushed <7d),Apache-2.0,High (high-performance claim),Medium,Medium,Medium,Medium,serving optimization,Alternative high-performance backend for routing pools,https://github.com/sgl-project/sglang
huggingface/text-generation-inference,Inference Runtime,LLM Inference,~10.8k,Medium (pushed <90d),Apache-2.0,High,Medium,Medium,Medium,Medium,inference server controls,Widely used OSS inference server in production gateways,https://github.com/huggingface/text-generation-inference
NVIDIA/TensorRT-LLM,Inference Runtime,GPU-Optimized Serving,~13.0k,Very High (pushed <7d),NOASSERTION (Other),Very High (state-of-the-art optimizations),Medium (efficiency-driven),Medium,Medium-High,Medium,runtime optimizations|performance,Throughput ceiling option for NVIDIA-centric deployments,https://github.com/NVIDIA/TensorRT-LLM
deepspeedai/DeepSpeed,Inference/Training Runtime,Optimization Runtime,~41.8k,High (pushed <14d),Apache-2.0,High,Medium (efficiency),Low-Medium,Medium,Medium,distributed inference optimizations,Performance/cost optimization backend for large-model serving,https://github.com/deepspeedai/DeepSpeed
ollama/ollama,Local Runtime,Local Model Serving,~164.5k,Very High (pushed <7d),MIT,Medium-High,High (local deployment cost control),Medium (multiple local models),Medium,Low-Medium,local fallback path,Useful as private/offline fallback tier in gateway strategy,https://github.com/ollama/ollama
lm-sys/FastChat,Serving Platform,Training/Serving/Eval,~39.4k,Medium (pushed <365d),Apache-2.0,Medium-High,Medium,Medium,Medium,Medium,multi-backend serving,Reference architecture for open serving and evaluation loops,https://github.com/lm-sys/FastChat
mistralai/mistral-inference,Inference Library,Model-specific Serving,~10.7k,High (pushed <30d),Apache-2.0,Medium-High,Medium,Low-Medium,Medium,Low-Medium,optimized model path,Vendor inference stack for specialized model pools,https://github.com/mistralai/mistral-inference
bentoml/BentoML,Serving Platform,Inference APIs/Pipelines,~8.5k,High (pushed <14d),Apache-2.0,Medium-High,Medium,Medium (multi-model pipelines),Medium-High,Medium,service orchestration|queueing,Application-serving layer between gateway and model runtimes,https://github.com/bentoml/BentoML
kserve/kserve,Serving Platform,K8s Inference Platform,~5.2k,Very High (pushed <7d),Apache-2.0,High (distributed inference),Medium,Medium,High,Medium-High,autoscaling|traffic split|canary patterns,Enterprise K8s inference control plane with SLA-oriented features,https://github.com/kserve/kserve
SeldonIO/seldon-core,Serving Platform,MLOps Serving,~4.7k,High (pushed <14d),NOASSERTION (Other),Medium-High,Medium,Low-Medium,High,Medium,deployment policies|monitoring hooks,Legacy-but-relevant serving framework for robust deployment patterns,https://github.com/SeldonIO/seldon-core
ray-project/ray,Compute Platform,Distributed AI Compute,~41.7k,Very High (pushed <7d),Apache-2.0,High,Medium,Medium,Medium-High,Medium-High,scaling orchestration,Backend compute substrate for high-load gateway workloads,https://github.com/ray-project/ray
kedacore/keda,Autoscaling,Event-driven Scaling,~10.0k,High (pushed <14d),Apache-2.0,High under burst,Medium (scale-to-zero),Low,High,Medium,autoscaling|burst handling,Critical for maintaining latency/SLA under variable traffic,https://github.com/kedacore/keda
openmeterio/openmeter,Cost Governance,Metering/Billing,~1.8k,Very High (pushed <7d),Apache-2.0,Low (not serving plane),Very High (usage metering/billing),Low,Medium,Medium,budget|quota|chargeback,Foundational for gateway budget governance and FinOps loops,https://github.com/openmeterio/openmeter
Helicone/helicone,Observability,LLM Observability,~5.2k,High (pushed <14d),Apache-2.0,Low (control plane),High (llm-cost topic),Low,Medium,Very High,audit trail|cost analytics,Observability plane with cost visibility for governance,https://github.com/Helicone/helicone
langfuse/langfuse,Observability,Tracing/Evals/Prompts,~22.9k,High (pushed <14d),NOASSERTION (Other),Low (control plane),Medium,Low-Medium,Medium,Very High,tracing|eval|audit,Strong tracing/eval stack for SLA and incident forensics,https://github.com/langfuse/langfuse
openlit/openlit,Observability,OTel-native LLM Ops,~2.3k,High (pushed <14d),Apache-2.0,Low,Medium,Low-Medium,Medium,Very High,otel tracing|metrics,OTel-native observability bridge across gateway and model layers,https://github.com/openlit/openlit
Arize-ai/phoenix,Observability,AI Eval/Observability,~8.8k,Very High (pushed <7d),NOASSERTION (Other),Low,Medium,Low-Medium,Medium,Very High,evaluation|trace analysis,Eval + observability supports quality/SLA governance loops,https://github.com/Arize-ai/phoenix
open-telemetry/opentelemetry-collector,Observability Backbone,Telemetry Pipeline,~6.7k,High (pushed <14d),Apache-2.0,Low,Low,Low,Medium,Very High,telemetry pipeline|audit stream,Vendor-neutral telemetry backbone for gateway observability,https://github.com/open-telemetry/opentelemetry-collector
prometheus/prometheus,Observability Backbone,Metrics TSDB,~63.1k,High (pushed <14d),Apache-2.0,Low,Low,Low,Medium,Very High,metrics|alerts,Metrics base for latency/error/SLA monitoring,https://github.com/prometheus/prometheus
grafana/grafana,Observability UI,Dashboards/Alerting,~72.6k,Very High (pushed <7d),AGPL-3.0,Low,Low,Low,Medium,Very High,dashboards|alerts|audit views,Operations cockpit for gateway governance and incident response,https://github.com/grafana/grafana
jaegertracing/jaeger,Observability Backbone,Distributed Tracing,~22.5k,Very High (pushed <7d),Apache-2.0,Low,Low,Low,Medium,Very High,tracing|root-cause,Trace-level request forensics across gateway and model calls,https://github.com/jaegertracing/jaeger
resilience4j/resilience4j,Resilience Library,Circuit/Retry/Rate Limit,~10.6k,High (pushed <14d),Apache-2.0,Low (library),Medium (rate limiter),Low,Very High,Medium,circuit-breaker|retry|bulkhead,Resilience pattern catalog for gateway-side SLA protection,https://github.com/resilience4j/resilience4j
App-vNext/Polly,Resilience Library,Circuit/Retry/Fallback,~14.1k,High (pushed <14d),BSD-3-Clause,Low (library),Low-Medium,Low,Very High,Medium,circuit-breaker|fallback|timeout,.NET-oriented resilience standard for service client paths,https://github.com/App-vNext/Polly
failsafe-lib/failsafe,Resilience Library,Retry/Fallback/Circuit,~4.3k,Medium (pushed <180d),Apache-2.0,Low (library),Low-Medium,Low,High,Low-Medium,fallback|circuit-breaker|timeout,JVM resilience toolkit suitable for gateway-adjacent services,https://github.com/failsafe-lib/failsafe
sony/gobreaker,Resilience Library,Circuit Breaker,~3.6k,Medium (pushed <60d),MIT,Low (library),Low,Low,High,Low,circuit-breaker,Minimal Go circuit breaker for lightweight gateway components,https://github.com/sony/gobreaker
