repo,layer,stars_estimate,activity_signal,license,index_algorithms,hybrid_search,metadata_filter,multi_tenant,distributed,ops_maturity,cost_efficiency,quality_ceiling,small_fit,mid_fit,large_fit,score_small_100,score_mid_100,score_large_100,recommendation,source_url
run-llama/llama_index,framework,47k+,high,MIT,4,4,4,3,3,3,4,4,5,5,4,86,84,76,default_framework,https://api.github.com/repos/run-llama/llama_index
langchain-ai/langchain,framework,128k+,very_high,MIT,3,3,3,3,3,3,4,3,5,4,3,84,76,68,secondary_framework,https://api.github.com/repos/langchain-ai/langchain
deepset-ai/haystack,framework,24k+,high,Apache-2.0,4,5,4,4,4,4,3,4,3,5,5,72,86,88,enterprise_framework,https://api.github.com/repos/deepset-ai/haystack
infiniflow/ragflow,framework,74k+,very_high,Apache-2.0,5,5,4,4,5,3,3,5,3,4,5,70,82,88,large_scale_platform,https://api.github.com/repos/infiniflow/ragflow
microsoft/graphrag,framework,31k+,high,MIT,4,3,4,3,3,3,2,5,2,4,4,58,74,76,complex_query_branch,https://api.github.com/repos/microsoft/graphrag
HKUDS/LightRAG,framework,29k+,very_high,MIT,4,3,3,2,2,2,4,4,4,4,3,78,74,64,lightweight_graph_rag,https://api.github.com/repos/HKUDS/LightRAG
QuivrHQ/quivr,framework,38k+,medium,NOASSERTION,3,3,3,2,2,2,4,3,4,3,2,74,62,52,prototype_only_license_check,https://api.github.com/repos/QuivrHQ/quivr
milvus-io/milvus,vector_db,43k+,very_high,Apache-2.0,5,4,4,4,5,4,3,5,2,4,5,66,84,92,large_scale_vector_db,https://api.github.com/repos/milvus-io/milvus
qdrant/qdrant,vector_db,29k+,very_high,Apache-2.0,4,4,5,4,4,4,4,4,4,5,4,84,88,82,default_vector_db,https://api.github.com/repos/qdrant/qdrant
weaviate/weaviate,vector_db,15k+,high,BSD-3-Clause,4,5,5,4,4,3,3,4,3,4,4,70,82,82,strong_hybrid_option,https://api.github.com/repos/weaviate/weaviate
chroma-core/chroma,vector_db,26k+,high,Apache-2.0,3,2,3,2,2,3,5,3,5,3,2,88,62,50,small_scale_fast_start,https://api.github.com/repos/chroma-core/chroma
lancedb/lancedb,vector_db,9k+,high,Apache-2.0,4,3,3,2,3,3,5,3,5,4,3,88,76,64,embedded_option,https://api.github.com/repos/lancedb/lancedb
pgvector/pgvector,vector_db,20k+,high,NOASSERTION,3,2,5,4,3,5,4,3,4,4,3,82,76,66,postgres_native_option,https://api.github.com/repos/pgvector/pgvector
vespa-engine/vespa,search_vector,6k+,very_high,Apache-2.0,5,5,5,5,5,3,2,5,1,4,5,48,82,92,largest_scale_mixed_retrieval,https://api.github.com/repos/vespa-engine/vespa
opensearch-project/OpenSearch,search_vector,12k+,very_high,Apache-2.0,4,5,5,5,5,4,3,4,2,4,5,58,84,90,hybrid_backbone,https://api.github.com/repos/opensearch-project/OpenSearch
elastic/elasticsearch,search_vector,76k+,very_high,NOASSERTION,4,5,5,5,5,5,3,4,2,4,5,60,82,88,license_review_required,https://api.github.com/repos/elastic/elasticsearch
meilisearch/meilisearch,search_vector,56k+,very_high,NOASSERTION,2,4,3,2,3,4,5,2,4,3,2,82,64,54,fast_keyword_plus_vector,https://api.github.com/repos/meilisearch/meilisearch
typesense/typesense,search_vector,25k+,high,GPL-3.0,2,4,3,3,3,4,4,2,4,3,2,78,62,52,gpl_consideration_needed,https://api.github.com/repos/typesense/typesense
facebookresearch/faiss,index_engine,39k+,high,MIT,5,1,1,1,2,3,4,5,2,3,4,62,66,74,index_kernel_component,https://api.github.com/repos/facebookresearch/faiss
nmslib/hnswlib,index_engine,5k+,medium,Apache-2.0,4,1,1,1,1,2,5,3,3,2,1,68,48,40,light_ann_library,https://api.github.com/repos/nmslib/hnswlib
spotify/annoy,index_engine,14k+,medium,Apache-2.0,3,1,1,1,1,3,5,2,4,2,1,72,48,38,cpu_light_ann,https://api.github.com/repos/spotify/annoy
castorini/pyserini,retrieval_quality,2k+,high,Apache-2.0,2,4,3,2,2,3,3,5,2,4,3,56,74,70,quality_benchmark_tooling,https://api.github.com/repos/castorini/pyserini
beir-cellar/beir,retrieval_quality,2k+,medium,Apache-2.0,1,1,1,1,1,2,4,5,2,4,3,54,72,70,offline_eval_dataset,https://api.github.com/repos/beir-cellar/beir
huggingface/sentence-transformers,retrieval_quality,18k+,high,Apache-2.0,1,1,1,1,1,3,3,5,4,4,3,76,70,62,embedding_backbone,https://api.github.com/repos/UKPLab/sentence-transformers
FlagOpen/FlagEmbedding,retrieval_quality,11k+,medium,MIT,1,1,1,1,1,2,3,5,4,4,3,74,68,60,bge_stack_option,https://api.github.com/repos/FlagOpen/FlagEmbedding
AnswerDotAI/rerankers,reranker,1k+,medium,Apache-2.0,1,1,1,1,1,2,4,4,4,4,3,76,74,64,default_rerank_wrapper,https://api.github.com/search/repositories?q=rerank+in:name,description&sort=stars&order=desc&per_page=100
PrithivirajDamodaran/FlashRank,reranker,900+,medium,Apache-2.0,1,1,1,1,1,2,5,3,5,4,3,80,72,60,low_cost_reranker,https://api.github.com/search/repositories?q=topic:reranking&sort=stars&order=desc&per_page=100
vibrantlabsai/ragas,evaluation,12k+,high,Apache-2.0,1,1,1,1,1,3,3,5,4,5,4,74,82,80,evaluation_baseline,https://api.github.com/repos/explodinggradients/ragas
Unstructured-IO/unstructured,ingestion,14k+,high,Apache-2.0,1,1,1,2,2,3,3,4,4,5,4,74,80,78,document_ingestion_core,https://api.github.com/repos/Unstructured-IO/unstructured
apache/tika,ingestion,3k+,very_high,Apache-2.0,1,1,1,2,3,5,5,2,4,4,4,82,78,74,classic_parser_backstop,https://api.github.com/repos/apache/tika
airbytehq/airbyte,ingestion,20k+,very_high,NOASSERTION,1,1,1,4,5,4,2,1,2,4,5,46,62,74,broad_connector_hub_license_check,https://api.github.com/repos/AirbyteHQ/airbyte
apache/nifi,ingestion_stream,5k+,high,Apache-2.0,1,1,1,4,4,4,3,1,2,4,5,48,64,74,flow_orchestration_option,https://api.github.com/repos/apache/nifi
apache/kafka,streaming,32k+,very_high,Apache-2.0,1,1,1,4,5,5,3,1,1,4,5,42,62,76,incremental_pipeline_backbone,https://api.github.com/repos/apache/kafka
apache/spark,index_pipeline,42k+,very_high,Apache-2.0,2,1,1,4,5,4,2,2,1,3,5,40,56,74,batch_reindex_engine,https://api.github.com/repos/apache/spark
