risk_id,category,risk_title,affected_scope,likelihood,impact,risk_level,trigger_signal,mitigation_actions,owner,due_window,acceptance_criteria,evidence_file,evidence_url,status
R001,License,NOASSERTION in core gateway component,BerriAI/litellm,Medium,High,High,核心组件许可证字段不明确,"建立法务阻断门禁; 未审结禁止入生产; 提供替代组件清单",Legal+Platform,30d,所有P0组件许可证完成审查并留档,w4_inference_gateway_shortlist.csv,https://api.github.com/repos/BerriAI/litellm,Open
R002,License,NOASSERTION in eval platform,langfuse/langfuse,Medium,High,High,评测平台进入生产前法务未签字,"补齐许可证证据; 评测层保留Opik替代路径",Legal+ML Platform,30d,Langfuse采纳决策有法务编号,w5_eval_observability_top30.csv,https://api.github.com/repos/langfuse/langfuse,Open
R003,Maintenance,Archived security baseline reused,protectai/rebuff,High,Medium,High,仓库已归档但仍用于主路径,"限制为历史样例; 不进入生产依赖; 替换为活跃项目",Security,30d,生产依赖列表中无Archived项目,w6_ai_security_governance_map.csv,https://github.com/protectai/rebuff,Open
R004,Maintenance,Inference backend status conflict,huggingface/text-generation-inference,Medium,Medium,Medium,维护状态结论冲突,"做30天活跃度与issue关闭率复核; 仅作为观察池",ML Platform,30d,形成统一状态结论与采纳决议,deep_ai_dev_repo_map_2026-03-09.csv,https://github.com/huggingface/text-generation-inference,Open
R005,SupplyChain,External MCP server supply-chain risk,modelcontextprotocol/servers,High,High,High,未审计外部server被直接接入,"建立MCP准入白名单; 进行依赖扫描与签名校验; owner绑定",Platform+Security,30d,外部server 100%完成准入流程,w2_mcp_ecosystem_map.csv,https://github.com/modelcontextprotocol/servers,Open
R006,SupplyChain,Unsigned artifact deployment,全组件CI/CD,Medium,High,High,产物无签名仍可部署,"引入cosign签名验证; admission policy强制校验",DevOps,60d,未签名产物部署拦截率100%,w6_ai_security_governance_map.csv,https://github.com/sigstore/cosign,Open
R007,SupplyChain,Secrets leakage in repos/configs,全组件代码仓,Medium,High,High,扫描发现密钥/令牌明文,"接入gitleaks pre-commit+CI; 建立泄露轮转SOP",Security,30d,高危泄露项0漏放,w6_ai_security_governance_map.csv,https://github.com/gitleaks/gitleaks,Open
R008,ArchitectureDrift,No layer ownership across six domains,Agent/MCP/RAG/Gateway/Eval/Security,High,High,High,同一能力跨层重复建设,"为六层设owner; 每次发布强制ADR; 月度漂移审查",Architecture Board,30d,发布记录100%附ADR,architecture-decision-benchmark.md,https://github.com/langchain-ai/langgraph,Open
R009,ArchitectureDrift,Single gateway overload of responsibilities,Gateway control plane,High,High,High,仅用单网关承载预算+SLA+审计,"分层为网关+mesh+计量账本; 责任边界文档化",Platform,30d,责任边界文档完成并验收,w4_gateway_deep_dive.md,https://github.com/openmeterio/openmeter,Open
R010,Operations,Missing runbook execution discipline,On-call operations,Medium,High,High,事故恢复步骤不一致,"执行月度演练; 复盘动作绑定负责人与期限",SRE,30d,每月2次演练并归档,w4_gateway_runbook.md,https://istio.io/latest/docs/tasks/traffic-management/circuit-breaking/,Open
