evidence_id,claim_id,evidence_type,repo,url,title,updated_at,why_relevant
E001,C3-A01,repo,promptfoo/promptfoo,https://github.com/promptfoo/promptfoo,"Test your prompts, agents, and RAGs. AI Red teaming, pentesting, and vulnerability scanning for LLMs. Compare performance of GPT, Claude, Gemini, Llama, and more. Simple declarative configs with command line and CI/CD integration.",2026-03-09T07:10:19Z,Eval/security core repository signal
E002,C3-A02,pr,promptfoo/promptfoo,https://github.com/promptfoo/promptfoo/pull/8059,chore(deps): update dependency @azure/ai-projects to v2,2026-03-09T08:49:21Z,Mitigation/change evidence in code path
E003,C3-A03,pr,promptfoo/promptfoo,https://github.com/promptfoo/promptfoo/pull/8058,fix(providers): align openclaw with upstream gateway,2026-03-09T07:20:19Z,Mitigation/change evidence in code path
E004,C3-A04,release,promptfoo/promptfoo,https://github.com/promptfoo/promptfoo/releases/tag/0.120.27,0.120.27,2026-03-06T22:14:25Z,Upgrade and security regression window signal
E005,C3-A05,release,promptfoo/promptfoo,https://github.com/promptfoo/promptfoo/releases/tag/0.120.26,0.120.26,2026-03-03T00:44:46Z,Upgrade and security regression window signal
E006,C3-A06,repo,guardrails-ai/guardrails,https://github.com/guardrails-ai/guardrails,Adding guardrails to large language models.,2026-03-09T08:32:14Z,Eval/security core repository signal
E007,C3-A07,issue,guardrails-ai/guardrails,https://github.com/guardrails-ai/guardrails/issues/1385,[bug] 429 Rate Limit Error from Opting into Metrics,2026-03-08T04:16:20Z,Observed failure pattern from maintainer/user reports
E008,C3-A08,pr,guardrails-ai/guardrails,https://github.com/guardrails-ai/guardrails/pull/1430,fix: preserve falsy values in safe_get,2026-03-08T21:57:17Z,Mitigation/change evidence in code path
E009,C3-A09,pr,guardrails-ai/guardrails,https://github.com/guardrails-ai/guardrails/pull/1428,[feat]: DB Commands,2026-03-06T18:09:01Z,Mitigation/change evidence in code path
E010,C3-A10,release,guardrails-ai/guardrails,https://github.com/guardrails-ai/guardrails/releases/tag/v0.9.1,v0.9.1,2026-02-24T20:53:36Z,Upgrade and security regression window signal
E011,C3-A11,release,guardrails-ai/guardrails,https://github.com/guardrails-ai/guardrails/releases/tag/v0.9.0,v0.9.0,2026-02-17T14:30:04Z,Upgrade and security regression window signal
E012,C3-A12,repo,NVIDIA-NeMo/Guardrails,https://github.com/NVIDIA-NeMo/Guardrails,NeMo Guardrails is an open-source toolkit for easily adding programmable guardrails to LLM-based conversational systems.,2026-03-09T09:16:24Z,Eval/security core repository signal
E013,C3-A01,issue,NVIDIA-NeMo/Guardrails,https://github.com/NVIDIA-NeMo/Guardrails/issues/1700,bug: create_event raises IndexError for empty string values,2026-03-09T01:55:16Z,Observed failure pattern from maintainer/user reports
E014,C3-A02,pr,NVIDIA-NeMo/Guardrails,https://github.com/NVIDIA-NeMo/Guardrails/pull/1691,chore(ci): add CodeRabbit configuration for automated PR reviews,2026-03-09T09:16:21Z,Mitigation/change evidence in code path
E015,C3-A03,pr,NVIDIA-NeMo/Guardrails,https://github.com/NVIDIA-NeMo/Guardrails/pull/1701,fix: avoid empty-string crash in create_event,2026-03-09T02:21:27Z,Mitigation/change evidence in code path
E016,C3-A04,release,NVIDIA-NeMo/Guardrails,https://github.com/NVIDIA-NeMo/Guardrails/releases/tag/v0.20.0,v0.20.0,2026-01-22T08:44:24Z,Upgrade and security regression window signal
E017,C3-A05,release,NVIDIA-NeMo/Guardrails,https://github.com/NVIDIA-NeMo/Guardrails/releases/tag/v0.19.0,v0.19.0,2025-12-03T17:27:00Z,Upgrade and security regression window signal
E018,C3-A06,repo,openai/evals,https://github.com/openai/evals,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks.",2026-03-09T09:38:52Z,Eval/security core repository signal
E019,C3-A07,issue,openai/evals,https://github.com/openai/evals/issues/1632,Measuring hallucination rates in production systems,2026-03-08T17:17:41Z,Observed failure pattern from maintainer/user reports
E020,C3-A08,issue,openai/evals,https://github.com/openai/evals/issues/1629,Proposal: add WFGY 16-problem RAG failure map as a taxonomy for eval analysis,2026-02-28T13:19:27Z,Observed failure pattern from maintainer/user reports
E021,C3-A09,pr,openai/evals,https://github.com/openai/evals/pull/1631,chore: add evals-telemetry to torch dependencies,2026-03-08T01:37:16Z,Mitigation/change evidence in code path
E022,C3-A10,pr,openai/evals,https://github.com/openai/evals/pull/1630,Fix link: update cookbook URL to new domain,2026-03-02T15:30:37Z,Mitigation/change evidence in code path
E023,C3-A11,repo,huggingface/lighteval,https://github.com/huggingface/lighteval,Lighteval is your all-in-one toolkit for evaluating LLMs across multiple backends,2026-03-09T05:28:16Z,Eval/security core repository signal
E024,C3-A12,pr,huggingface/lighteval,https://github.com/huggingface/lighteval/pull/1182,Fail fast on non-retriable LiteLLM status codes,2026-03-08T03:58:03Z,Mitigation/change evidence in code path
E025,C3-A01,pr,huggingface/lighteval,https://github.com/huggingface/lighteval/pull/1181,Redact model config credentials in saved and returned results,2026-03-08T03:03:25Z,Mitigation/change evidence in code path
