claim_id,challenge_type,counter_source_url,verdict,notes
C6-A01,boundary_condition,https://github.com/langchain-ai/langgraph,partial,prod_signal_score is internal; without business KPI (task success / incident load) gate, 80+ can still ship brittle flows. Add outcome-based promotion criterion.
C6-A02,boundary_condition,https://github.com/modelcontextprotocol/python-sdk,partial,Mandatory MCP from day-1 can block teams with legacy/internal tools; phased adoption with exception inventory holds. Enforce "new integrations only" first.
C6-A03,counterevidence,https://github.com/langchain-ai/langgraph,partial,95% recovery_success_rate is framework-local; end-to-end user task success and rollback blast-radius not in scope. Add business-outcome and blast-radius gates.
C6-A04,boundary_condition,https://github.com/chroma-core/chroma,partial,Optimal for "mid-scale default" is context-dependent; small static FAQ corpus may not need Qdrant+reranker. Label as default for balanced/growth profile only.
C6-A05,boundary_condition,https://github.com/vibrantlabsai/ragas,partial,Always-on reranker adds latency/cost; high-confidence low-ambiguity queries may not benefit. Conditional reranking by uncertainty/confidence is required.
C6-A06,counterevidence,https://github.com/opensearch-project/OpenSearch,partial,Stable for "mid-scale" assumes workload mix; incumbent PG/OpenSearch can make different default optimal. Add incumbent-infra and workload-mix caveats.
C6-A07,boundary_condition,https://github.com/openai/openai-agents-python,partial,3% handoff failure alone can mislead if failures are low-impact or auto-recovered. Use severity-weighted handoff failure and business impact.
C6-A08,boundary_condition,https://github.com/deepset-ai/haystack,partial,Blueprint holds for modular composition; adoption cost and team familiarity vary. Recommend as reference pattern, not mandatory stack.
C6-A09,boundary_condition,https://github.com/promptfoo/promptfoo,partial,Sample counts (120/80) are not calibrated to domain; verticals need domain-stratified sets. Add stratification and domain-size guidance.
C6-A10,boundary_condition,https://github.com/milvus-io/milvus,partial,100M chunks + P95 misses per-tenant hotspot and queue-depth; noisy tenants can breach SLO before global threshold. Add per-tenant and queue-depth triggers.
C6-A11,boundary_condition,https://github.com/langchain-ai/langgraph,partial,License is critical but operational readiness (owners, runbooks, incident freeze) can dominate early incidents. Rebalance risk: legal + operational + observability.
C6-A12,counterevidence,https://github.com/apache/kafka,fails,High document velocity or real-time ingestion needs may require streaming (Kafka) before "P2"; P2-only framing can block scale-up. Add velocity-based exception path.
