repo,last_release_tag,last_release_date,breaking_changes,impact_api_config_deploy_data,migration_complexity,rollback_strategy,owlclaw_module_mapping,evidence_url
ollama/ollama,v0.17.7,2026-03-05,No explicit hard break in latest notes; runtime behavior changed for thinking levels and launch compaction,"API behavior for thinking level parsing; deployment packaging churn across OS artifacts; no data model break called out",medium,"Pin previous binary v0.17.6; keep dual-runtime canary and route rollback by model-runtime flag",model-runtime-and-local-inference,https://api.github.com/repos/ollama/ollama/releases/latest
vllm-project/vllm,v0.17.0,2026-03-07,Explicit breaking dependency move to PyTorch 2.10 and default KV load failure policy changed to fail,"API compatibility additions plus backend changes; config flags expanded; deploy env and CUDA matrix significantly impacted; model execution semantics affected",high,"Blue/green by image tag; pin prior torch/vllm combo; preserve old failure-policy config where possible",model-serving-and-inference-gateway,https://api.github.com/repos/vllm-project/vllm/releases?per_page=5
langchain-ai/langchain,langchain==0.3.28,2026-03-06,No explicit major break in latest patch but frequent dependency floor bumps and package splits imply soft break risk,"API import paths and partner package versions shift often; config/model aliases evolve; deploy lockfiles frequently change; data contracts mostly stable",high,"Use adapter facade for LangChain calls; lock minor stream; rollback by package set snapshot",agent-orchestration-abstractions,https://api.github.com/repos/langchain-ai/langchain/releases?per_page=5
langchain-ai/langgraph,1.0.10,2026-02-27,No explicit break in latest stable note but checkpoint and CLI tracks move rapidly with CVE and schema changes,"API around checkpoint/CLI evolves; config schema updates appear; deployment dep bumps frequent; state checkpoint compatibility is sensitive",high,"Version-pair langgraph with checkpoint package; replay tests before rollout; rollback both together",durable-workflow-engine,https://api.github.com/repos/langchain-ai/langgraph/releases?per_page=5
microsoft/autogen,python-v0.7.5,2025-09-30,No explicit breaking flag but security posture changed toward Docker executor defaults,"API tool/schema behavior patched; config for model and MCP handling changes; deployment security defaults tightened; memory/storage internals touched",medium,"Keep previous executor mode behind feature flag; rollback to python-v0.7.4 with same model config",multi-agent-orchestration-core,https://api.github.com/repos/microsoft/autogen/releases?per_page=3
crewAIInc/crewAI,1.10.1,2026-03-04,No explicit major break but 1.10.0 introduced broad executor/schema behavior changes and MCP schema resolution fixes,"API callback and tool parsing changed; config flags corrected and stricter schema handling; deployment deps and HTTP client changed; structured output mapping affected",high,"Canary 1.10.x with schema regression suite; keep 1.9.x/1.10.0 fallback image for quick rollback",multi-agent-orchestration-core,https://api.github.com/repos/crewAIInc/crewAI/releases?per_page=3
OpenHands/OpenHands,1.4.0,2026-02-18,No explicit breaking label but networking and sandbox env requirements changed in recent releases,"API mostly stable; config requires WEB_HOST and sandbox URL pattern for remote usage; deployment network mode options changed; conversation state handling fixed",medium,"Rollback by image tag to 1.3.0; preserve prior sandbox env vars and host network toggles",autonomous-coding-agent-runtime,https://api.github.com/repos/OpenHands/OpenHands/releases?per_page=3
browser-use/browser-use,0.12.1,2026-03-03,No explicit major break; 0.12.0 pinned dependency versions and state format fixes imply integration sensitivity,"API tool behavior adjusted for MCP image content and browser state; config defaults no longer hardcoded in places; deployment proxy/CDP handling changed; state serialization touched",medium,"Pin 0.11.13 for stable flows; run browser-state replay tests and rollback by package lock",browser-execution-layer,https://api.github.com/repos/browser-use/browser-use/releases?per_page=3
BerriAI/litellm,v1.81.14-stable.gpt-5.4-patch6,2026-03-08,No explicit break text but extremely fast patch cadence suggests high regression exposure,"API/provider routing can shift quickly; config for model aliases and gateway behavior is volatile; deploy requires tight version pinning; cost/log schema can drift",high,"Use strict gateway contract tests; rollback one patch step immediately; retain previous routing ruleset",model-gateway-and-policy-router,https://api.github.com/repos/BerriAI/litellm/releases/latest
run-llama/llama_index,v0.14.15,2026-02-18,No explicit break in latest note but many sub-packages hit 1.0 and parameter removals noted in components,"API surface broad and modular with frequent plugin updates; config options removed in integrations; deployment dependency matrix large; metadata/node field changes can affect pipelines",high,"Lock core and plugin versions as bundle; rollback to previous bundle by constraints file",rag-and-knowledge-pipeline,https://api.github.com/repos/run-llama/llama_index/releases/latest
deepset-ai/haystack,v2.25.2,2026-03-05,Latest release reverts a prior behavior change making agent messages optional (indicates unstable behavioral change),"API execution semantics around message handling changed then reverted; config defaults for LLM messages altered; deployment low impact; data model around pipeline messages sensitive",medium,"Rollback to 2.25.1 if message pipeline regressions appear; keep explicit messages initialization in adapter",agent-pipeline-runtime,https://api.github.com/repos/deepset-ai/haystack/releases/latest
langfuse/langfuse,v3.156.0,2026-03-05,No single explicit break but major internal query/storage/dashboard evolutions and SDK major tooling upgrades,"API fields and response typing evolve; config for auth/SSO and adapters changes; deploy includes ClickHouse/Redis/docker shifts; analytics schema/query paths evolve",high,"Use DB migration dry-run and dashboard snapshot tests; rollback with DB backup and previous app image",observability-and-eval-platform,https://api.github.com/repos/langfuse/langfuse/releases/latest
Arize-ai/phoenix,arize-phoenix-v13.11.0,2026-03-08,No breaking note in latest release,"API/provider list expanded; config requires new provider keys and base URLs; deployment impact low; data model mostly additive",low,"Rollback by container tag to 13.10.0; disable new providers via config flags",observability-and-eval-platform,https://api.github.com/repos/Arize-ai/phoenix/releases/latest
truera/trulens,trulens-2.7.0,2026-02-19,Major API migration introduced: new Metric class replacing Feedback and MetricConfig with deprecation path,"API migration required for metric definitions/selectors; config objects changed; deployment impact low; evaluation data mappings may change",high,"Maintain compatibility shim for Feedback API; phased migration with dual metric registration and fallback to 2.6.0",eval-and-feedback-engine,https://api.github.com/repos/truera/trulens/releases/latest
modelcontextprotocol/servers,2026.1.26,2026-01-27,No explicit break in latest release but package set updates are date-versioned and reference-only,"API example packages can change with protocol evolution; config examples may drift; deployment should not assume production hardening; data model changes possible across examples",medium,"Treat as reference only; pin specific server package versions and rollback package-by-package",tool-protocol-reference-servers,https://api.github.com/repos/modelcontextprotocol/servers/releases/latest
modelcontextprotocol/python-sdk,v1.26.0,2026-01-24,No explicit break; behavior change noted (404 for unknown sessions) can affect clients,"API mostly stable; session error semantics changed; config low impact; deployment low impact; protocol metadata support expanded",medium,"Pin v1.25.0 if session handling regresses; add compatibility layer for old error expectations",tool-protocol-sdk-python,https://api.github.com/repos/modelcontextprotocol/python-sdk/releases/latest
modelcontextprotocol/typescript-sdk,v1.27.1,2026-02-24,No explicit major break; security fix and conformance/auth updates may alter error flows,"API mostly additive; transport error callbacks behavior fixed; config low-medium impact; deployment low impact; protocol conformance tightened",medium,"Rollback to v1.27.0 if transport callback behavior breaks integrations",tool-protocol-sdk-typescript,https://api.github.com/repos/modelcontextprotocol/typescript-sdk/releases/latest
modelcontextprotocol/go-sdk,v1.4.0,2026-02-27,Behavior changes and security defaults changed (DNS rebinding protection enabled by default; JSON escaping behavior changed), "API adds client OAuth and sampling with tools; config/env includes MCPGODEBUG transition knobs; deployment and security posture changed; protocol handling can break old assumptions",high,"Canary with MCPGODEBUG compatibility toggles; rollback to v1.3.x and restore previous defaults",tool-protocol-sdk-go,https://api.github.com/repos/modelcontextprotocol/go-sdk/releases/latest
modelcontextprotocol/java-sdk,v1.0.0,2026-02-23,Major GA milestone with removal of RC-deprecated APIs and transport/framework baseline shifts,"API cleaned for stable line; config/dependency shifts to Spring AI 2.0; deployment and dependency BOM changes; protocol support/version negotiation baseline reset",high,"Keep RC compatibility branch for one cycle; rollback to v0.18.1 with migration notes",tool-protocol-sdk-java,https://api.github.com/repos/modelcontextprotocol/java-sdk/releases/latest
modelcontextprotocol/csharp-sdk,v1.1.0,2026-03-06,No explicit major break but behavior updates in ping handling/capabilities and in-flight handler lifecycle can affect integrations,"API additive with completion details; config low impact; deployment low-medium due package validation and transport examples; runtime behavior changed in session handling",medium,"Rollback to v1.0.0 if session/ping regressions appear; gate with transport integration tests",tool-protocol-sdk-csharp,https://api.github.com/repos/modelcontextprotocol/csharp-sdk/releases/latest
