claim_id,topic,claim,source_type,url,evidence_excerpt,date_observed,novelty
C6-A01,gateway,LiteLLM proxy DB migrations can be recorded as applied while columns are missing causing silent 500s on upgrade,issue,https://github.com/BerriAI/litellm/issues/22998,"[Bug]: litellm_proxy_extras migrations recorded as applied but columns not created — causes silent failures and 500 errors on upgrade",2026-03-06,high
C6-A01,gateway,LiteLLM proxy DB migrations can be recorded as applied while columns are missing causing silent 500s on upgrade,issue,https://github.com/BerriAI/litellm/issues/23034,"[Bug]: Langfuse logging stopped working on its own on v1.81.16",2026-03-07,medium
C6-A01,gateway,LiteLLM proxy DB migrations can be recorded as applied while columns are missing causing silent 500s on upgrade,issue,https://github.com/BerriAI/litellm/issues/22983,"[Bug]: v1.81.14-nightly - litellm-proxy-extras 0.4.46 ships a schema.prisma with a duplicate LiteLLM_DeletedTeamTable model breaking prisma generate",2026-03-06,high
C6-A02,agent,Handoff/history changes in OpenAI Agents SDK break compatibility and parsing (nest_handoff_history to_input_list),issue,https://github.com/openai/openai-agents-python/issues/2258,".to_input_list() provides unparsable data if handoff happens in that run w/ nest_handoff_history: true",2026-01-04,high
C6-A02,agent,Handoff/history changes in OpenAI Agents SDK break compatibility and parsing (nest_handoff_history to_input_list),issue,https://github.com/openai/openai-agents-python/issues/2349,"Handoff breaking changes in v0.6.0 break compatibility with non-OpenAI models",2026-01-22,high
C6-A02,agent,Handoff/history changes in OpenAI Agents SDK break compatibility and parsing (nest_handoff_history to_input_list),release,https://github.com/langchain-ai/langgraph/releases/tag/1.0.10,"release(langgraph) 1.0.10; chore: add serde events; release(checkpoint): 0.4.1",2026-02-27,medium
C6-A03,mcp,MCP server tool return-type changes (array vs string) break client expectations and cause -32602 errors,issue,https://github.com/modelcontextprotocol/servers/issues/3110,"filesystem: directory_tree returns structured content array instead of string breaking Claude Code",2025-12-11,high
C6-A03,mcp,MCP server tool return-type changes (array vs string) break client expectations and cause -32602 errors,issue,https://github.com/modelcontextprotocol/servers/issues/3093,"Filesystem MCP: move_file tool returns array instead of string (Error -32602)",2025-11-30,high
C6-A03,mcp,MCP server tool return-type changes (array vs string) break client expectations and cause -32602 errors,issue,https://github.com/modelcontextprotocol/servers/issues/3173,"Memory MCP JSON Parsing Error - All Tools Failing",2026-01-02,medium
C6-A04,rag,Qdrant minor upgrades can introduce internal errors and snapshot restore failures requiring rollback,issue,https://github.com/qdrant/qdrant/issues/7632,"Internal error after upgrading to 1.16.1 from 1.16.0",2025-12-04,high
