claim_id,challenge_type,counter_source_url,verdict,notes
C8-A01,boundary_condition,https://github.com/protectai/llm-guard,partial,Single source of truth holds only if changelog coverage is complete; no_clear_breaking can hide breaks in sparse/automated changelog. Add changelog-quality flag and code-diff requirement for no_clear_breaking.
C8-A02,boundary_condition,40-insights/backlogs/master_action_backlog_2026-03-09.md,partial,Canonical only for “research closure” audience; ops and eng need live backlog and risk register. Clarify audience and add pointer to operational assets.
C8-A03,boundary_condition,https://github.com/kyverno/kyverno/releases,partial,Two-step sufficient for single-region/single-tenant; multi-region or high-tenant blast radius may need more steps and scope-by-blast-radius. Add step count and scope by blast-radius class.
C8-A04,boundary_condition,https://github.com/truera/trulens/releases,partial,Adapters add maintenance and can lag multi-version support. Document adapter maintenance SLA and version support window.
C8-A05,boundary_condition,https://github.com/modelcontextprotocol/python-sdk/releases,partial,CVE or compliance can force serving/orchestration first. Add event-driven reorder and exception path (e.g. CVE/compliance).
C8-A06,boundary_condition,https://github.com/open-telemetry/opentelemetry-collector/releases,partial,Pin alone does not define how long pin is safe (CVE, support EOL). Add pin expiry and security-backport policy.
C8-A07,counterevidence,30-analysis/cross/challenge_matrix_2026-03-09_C7.csv,fails,C7-B-016: expiry without enforcement leads to permanent exceptions. Manual expiry insufficient; automated exception-expiry check and escalation required.
C8-A08,counterevidence,20-normalized/handoff_B_to_C_2026-03-09_C7.md,partial,C7 required: owner availability and incident-freeze dependency for waves. Wave timing not execution-ready without these; add to rollout plan.
C8-A09,boundary_condition,https://github.com/istio/istio,partial,Single combo assumes org has mesh and multi-stack capacity; small team or single-provider constraint. Label as scale profile and add minimal profile.
C8-A10,counterevidence,https://github.com/aquasecurity/trivy/releases,partial,Sparse or automated changelog can misclassify no_clear_breaking. Add code-diff or compatibility-test requirement for no_clear_breaking classification.
C8-A11,boundary_condition,https://github.com/mem0ai/mem0/releases,partial,Bundle may not include state or runtime-generated config; stateful components need state snapshot and config export. Define for stateful components.
C8-A12,boundary_condition,40-insights/risks/upgrade-risk-matrix.md,partial,Quarterly cadence can lag behind CVE or major release churn. Add trigger-based review (e.g. P0 release, CVE) and minimum quarterly floor.
