repo,priority_wave,risk_level,upgrade_focus,precheck_gate,canary_scope,success_criteria,rollback_trigger,rollback_action,owner_role,source_url
open-telemetry/opentelemetry-collector,P0,high,"Go toolchain and API/config breaking changes","Build image uses Go>=1.25; config compatibility tests pass","10% telemetry pipeline traffic","p95 latency regression <=15%; parse error increase <=0.5%","Error rate >2x baseline for 10m","Revert collector image and restore previous config template set",Platform_SRE,https://github.com/open-telemetry/opentelemetry-collector/releases/tag/v0.146.0
open-policy-agent/gatekeeper,P0,high,"VAP enforcement scope behavior changes","Policy corpus replay and explicit sync-vap-enforcement-scope check","Single non-prod cluster + 1 prod namespace","Allow/deny drift <=2% on approved corpus","Allow/deny drift >5%","Rollback to v3.21.x and restore previous flag setting",Security_Platform,https://github.com/open-policy-agent/gatekeeper/releases/tag/v3.21.0
Azure/PyRIT,P0,high,"Message model migration and renamed APIs","Adapter layer and dual-run attack/scorer tests","Security eval pipeline only","No regression in attack execution success rate","Critical scenario failure >2%","Pin back to v0.10.x and keep legacy object model",LLM_Security_Engineer,https://github.com/Azure/PyRIT/releases/tag/v0.11.0
NVIDIA-NeMo/Guardrails,P0,high,"Config schema/runtime baseline changes","Config transform and parser update checks","10% guarded traffic","No increase in unsafe output pass rate; config parse success 100%","Unsafe pass rate increase >1%","Pin to v0.19.x and restore prior config schema",LLM_Platform_Engineer,https://github.com/NVIDIA-NeMo/Guardrails/releases/tag/v0.20.0
semgrep/semgrep,P1,medium,"MCP auth/transport migration","OAuth bootstrap and client transport compatibility test","CI scanners for one business unit","No scanner outage; finding upload success >=99.5%","Upload success <98%","Revert to v1.149 or earlier transport-compatible version",AppSec_Engineer,https://github.com/semgrep/semgrep/releases/tag/v1.150.0
truera/trulens,P1,medium,"Feedback to Metric API migration","Selector mapping and eval parity tests","One observability workspace","Metric parity >=99% on golden eval set","Metric parity <97%","Freeze at 2.6.x and keep deprecated Feedback path",Observability_Engineer,https://github.com/truera/trulens/releases/tag/trulens-2.7.0
open-telemetry/opentelemetry-specification,P1,medium,"Propagator/metric mapping alignment","SDK+collector pairwise compatibility tests","Single environment tracing pipeline","Trace continuity >=99.9%; mapping diff <=1%","Trace drop >0.5%","Rollback SDK/collector pair to prior aligned versions",Platform_Observability,https://github.com/open-telemetry/opentelemetry-specification/releases/tag/v1.54.0
openfga/openfga,P1,medium,"Authorization model evolution","Model migration dry-run and tuple integrity checks","One tenant","Check API p95 <=30ms and no authz decision drift","Decision drift >1%","Revert model version and restore previous tuple write path",IAM_Platform,https://github.com/openfga/openfga/releases
authzed/spicedb,P1,medium,"Permission graph behavior/latency stability","Snapshot backup and query regression tests","One tenant","Permission check parity >=99.5%","Parity <99%","Rollback image and restore snapshot",IAM_Platform,https://github.com/authzed/spicedb/releases
kyverno/kyverno,P1,high,"Admission policy engine behavior","Policy dry-run + namespace canary","Two low-risk namespaces","Admission latency within SLO; no critical deny spikes","Critical deny spike or admission timeout surge","Rollback helm chart and prior policy set",Kubernetes_Security,https://github.com/kyverno/kyverno/releases
guardrails-ai/guardrails,P2,low,"Guardrail runtime drift check","Golden prompt replay","One assistant product line","Unsafe output pass rate stable","Unsafe pass rate >1% above baseline","Revert package and previous guardrail config",LLM_Safety_Engineer,https://github.com/guardrails-ai/guardrails/releases
aquasecurity/trivy,P2,low,"Scanner output consistency","Baseline vuln diff comparison","One CI pipeline","Critical vuln delta explained and accepted","Unexplained critical delta","Pin previous scanner binary",DevSecOps,https://github.com/aquasecurity/trivy/releases
gitleaks/gitleaks,P2,low,"Secret detection stability","False-positive/false-negative spot checks","One CI pipeline","Leak detection parity >=99%","Detection parity <98%","Rollback binary version in CI image",DevSecOps,https://github.com/gitleaks/gitleaks/releases
google/osv-scanner,P2,low,"Dependency scan consistency","Lockfile based baseline compare","One CI pipeline","Finding count drift explained","Unexplained major drift","Pin previous osv-scanner release",DevSecOps,https://github.com/google/osv-scanner/releases
anchore/syft,P2,low,"SBOM schema consistency","SPDX/CycloneDX diff test","One build pipeline","SBOM parse success 100%","SBOM parse failure >0%","Rollback syft binary and regenerate SBOM",DevSecOps,https://github.com/anchore/syft/releases
