challenge_id,claim_id,attack_type,counter_claim,verdict,counter_source_url,review_note
CH-001,C-A01,counterexample,部分MCP接口在版本快速迭代下仍保持向后兼容，不必然导致契约漂移风险升高,partial,https://github.com/modelcontextprotocol/modelcontextprotocol/releases,A主张方向正确但需限定前提
CH-002,C-A01,boundary,对单一受控服务器场景，契约变化可通过固定版本锁定，风险可控,survives,https://github.com/langfuse/mcp-server-langfuse/releases,A主张在关键条件下仍成立
CH-003,C-A02,counterexample,认证/限流故障有时源于下游模型提供商错误，而非gateway自身,partial,https://github.com/BerriAI/litellm/issues,A主张方向正确但需限定前提
CH-004,C-A02,boundary,低并发内部系统中配额问题不一定构成高频入口,partial,https://github.com/Helicone/helicone/issues,A主张方向正确但需限定前提
CH-005,C-A03,counterexample,部分可靠性问题通过模型参数调优即可缓解，不总需工程护栏,partial,https://github.com/openai/openai-agents-python/issues,A主张方向正确但需限定前提
CH-006,C-A03,staleness,若引用PR未合并/未发布，不能证明已形成可靠性改进,survives,https://github.com/langfuse/langfuse/pulls,A主张在关键条件下仍成立
CH-007,C-A04,counterexample,高频发布仓库若具备严格回归门禁，回归概率未必上升,fails,https://github.com/langchain-ai/langgraph/releases,A主张泛化过度，需降级或驳回
CH-008,C-A04,boundary,慢发布也可能积累变更并产生更大一次性升级风险,partial,https://github.com/microsoft/autogen/releases,A主张方向正确但需限定前提
CH-009,C-A05,counterexample,无共享状态+幂等设计的agent流程在并发下仍可稳定,partial,https://github.com/langchain-ai/langgraph/issues,A主张方向正确但需限定前提
CH-010,C-A05,boundary,串行工具调用工作流不满足该结论的高风险前提,survives,https://github.com/openai/openai-agents-python/issues/2258,A主张在关键条件下仍成立
CH-011,C-A06,counterexample,小规模系统可通过结构化日志定位，trace缺失影响有限,partial,https://github.com/pydantic/logfire/issues,A主张方向正确但需限定前提
CH-012,C-A06,boundary,跨服务调用和异步回调场景中trace缺失会显著放大定位时间,survives,https://github.com/langfuse/langfuse/issues,A主张在关键条件下仍成立
CH-013,C-A07,counterexample,严格schema校验开启后，参数约束问题会明显下降,partial,https://github.com/microsoft/autogen/pull/7361,A主张方向正确但需限定前提
CH-014,C-A08,counterexample,文档漂移影响入门效率，但并非所有线上故障主因,partial,https://github.com/microsoft/autogen/pull/7269,A主张方向正确但需限定前提
CH-015,C-A09,counterexample,统一锁版本和镜像冻结后，跨仓依赖冲突可显著缓解,survives,https://github.com/langfuse/langfuse/issues/11738,A主张在关键条件下仍成立
CH-016,C-A10,counterexample,某些MCP生态通过白名单与审计日志已实现基本治理,partial,https://github.com/modelcontextprotocol/servers/issues,A主张方向正确但需限定前提
CH-017,C-A11,counterexample,若数据分布稳定且输入受控，边界故障占比可降低,partial,https://github.com/coze-dev/coze-loop/issues,A主张方向正确但需限定前提
CH-018,C-A12,counterexample,早期产品在低复杂度阶段可在无完整闭环下保持可用,fails,https://github.com/openai/simple-evals/issues,A主张泛化过度，需降级或驳回
