repo,category,symptom,trigger_condition,root_cause,fix_method,regression_test,source_url
langchain-ai/langgraph,配置/部署,"流式运行返回500，日志出现dial tcp :0","Redis TLS集群使用--port 0 + --tls-port 6379并升级到langgraph-api 0.7.60后","上游go-redis v9.18.0在TLS cluster PubSub路径端口解析回归","短期回滚到0.7.56并锁定依赖；后续修复PubSub连接端口解析","No (issue未附回归测试)","https://github.com/langchain-ai/langgraph/issues/6987"
microsoft/autogen,配置/部署,"Studio启动阶段Alembic迁移报password authentication failed","Docker环境下Autogen Studio连接Postgres并执行schema_manager.generate_revision","迁移链路和主连接链路配置不一致或读取路径分叉导致认证参数未一致使用","统一DATABASE_URI读取路径并在迁移初始化处增加配置一致性校验","No (issue未附回归测试)","https://github.com/microsoft/autogen/issues/7341"
BerriAI/litellm,配置/部署,"Redis连接在ssl=False时仍走SSLConnection导致连接异常","代理通过config设置REDIS_SSL=False","连接池判定逻辑只判断键存在而非布尔值，导致误选SSLConnection","将判定改为redis_kwargs.get('ssl')并仅在真值时启用SSLConnection","Yes (PR说明包含测试)","https://github.com/BerriAI/litellm/pull/22745"
modelcontextprotocol/python-sdk,并发与状态,"context快速退出时出现BrokenResourceError异常组","stdio_client上下文快速退出且stdout_reader仍在发送","清理阶段先关闭stream writer，reader任务仍写入导致竞态","在关闭流前取消任务组或在reader路径捕获BrokenResourceError","No (issue提供建议，未标注已加回归测试)","https://github.com/modelcontextprotocol/python-sdk/issues/1960"
modelcontextprotocol/python-sdk,并发与状态,"服务关停时ASGI报response未完成","Streamable HTTP存在活跃会话时Ctrl+C关闭服务","shutdown流程未优雅终止活动流连接，先中止执行导致连接悬挂","在shutdown阶段先关闭活动连接并发送完整结束响应，再退出任务","No (issue阶段)","https://github.com/modelcontextprotocol/python-sdk/issues/2150"
microsoft/autogen,并发与状态,"OpenAI流式返回偶发空chunk导致处理链路不稳定","流式响应中出现None chunk（前中后均可能）","stream loop未过滤None chunk，后续属性访问与usage累计受影响","在流循环前跳过None并保留最后有效chunk；补充None chunk回归用例","Yes (PR明确新增regression test)","https://github.com/microsoft/autogen/pull/7355"
run-llama/llama_index,检索质量,"Anthropic请求返回400并提示cache_control block超限","AgentWorkflow + output_cls + cache_idx导致单条消息被展开为多TextBlock","cache_control被应用到每个block，超过Anthropic最多4个带cache_control块限制","仅在每条消息最后一个block设置cache_control，维持缓存断点策略","Yes (PR新增7个测试)","https://github.com/run-llama/llama_index/pull/20875"
BerriAI/litellm,检索质量,"embedding请求对vLLM等兼容端点返回422","调用embedding传dimensions且drop_params=True","openai兼容分支未执行dimensions参数裁剪，导致不支持参数透传","在兼容分支按模型能力裁剪dimensions；drop_params=True时静默丢弃","No (PR摘要未声明新增回归测试)","https://github.com/BerriAI/litellm/pull/23120"
run-llama/llama_index,检索质量,"SharePointReader传folder_id时仍返回drive root内容","只设置sharepoint_folder_id而未设置folder_path","list_resources分支判断忽略folder_id路径，回退到根目录逻辑","在folder_path缺失时仍优先使用folder_id列举目录","Yes (PR新增test_list_resources_with_folder_id_only)","https://github.com/run-llama/llama_index/pull/20838"
langchain-ai/langchain,网关路由,"远端MCP工具发现阶段403，工具列表为空","Agent Builder配置了Authorization/Accept并发起远端MCP discovery","代理探测阶段未转发自定义鉴权头，导致远端网关拒绝","修复discovery链路头透传并增加MCP探测阶段header一致性测试","No (issue阶段)","https://github.com/langchain-ai/langchain/issues/35574"
