claim_id,source_claim_file,claim_text,counterargument,boundary_condition_not_hold,counter_source_url,verdict,recommendation_for_c
C7-B-001,data/risks/upgrade-risk-matrix.md,"Explicit breaking vs no_clear_breaking classification is sufficient for prioritization","No_clear_breaking can hide breaking changes in sparse or untranslated release notes","Repos with weak changelog or non-English release notes",https://github.com/Azure/PyRIT/releases,partial,Add changelog-quality and coverage flag to matrix
C7-B-002,data/risks/upgrade-risk-matrix.csv,"Pin to v0.10.x / v0.145.x is adequate rollback suggestion","Pin alone does not define how long the pin is safe (CVE, support EOL)","Long-lived pin with security or support window",https://github.com/open-telemetry/opentelemetry-collector/releases,partial,Add pin expiry and security-backport policy
C7-B-003,analysis/cross/w9_upgrade_radar.md,"Upgrade order MCP first then serving then orchestration is universally correct","Order can be wrong when critical CVE or compliance forces serving or orchestration first","Security incident or audit deadline",https://github.com/modelcontextprotocol/python-sdk/releases,partial,Add event-driven reorder and exception path
C7-B-004,data/risks/upgrade-risk-rollout-plan.md,"Parsing failure rate increase >0.5% blocks rollout","Single threshold can be too strict or too loose across different schema surface areas","Heterogeneous telemetry or multi-tenant schema mix",https://github.com/open-telemetry/opentelemetry-specification/releases,partial,Tier threshold by schema criticality and tenant count
C7-B-005,data/risks/upgrade-risk-rollout-plan.md,"Policy deny drift >2% on approved traffic blocks rollout","Golden set may not cover new policy dimensions introduced in upgrade","Policy engine adds new condition types",https://github.com/open-policy-agent/opa/releases,partial,Require golden set refresh and coverage check before gate
C7-B-006,data/risks/upgrade-risk-rollout-plan.md,"p95 regress >15% or error rate >1.5x baseline blocks rollout","Baseline may be stale or unrepresentative of canary traffic mix","Seasonal or event-driven traffic shift",https://github.com/BerriAI/litellm/releases,partial,Define baseline refresh rule and canary traffic representativeness
C7-B-007,data/risks/upgrade-risk-matrix.md,"Versioned adapters for PyRIT/TruLens/OTel absorb API drift","Adapters add maintenance burden and can lag behind multi-version support","Rapid multi-minor upgrade path",https://github.com/truera/trulens/releases,partial,Document adapter maintenance SLA and version support window
C7-B-008,data/risks/upgrade-risk-matrix.md,"Separate policy bundle rollout from runtime binary rollout is always feasible","Some policy engines are embedded or single-binary; separation not possible","Embedded or legacy deployment model",https://github.com/kyverno/kyverno/releases,partial,Allow combined rollout with stricter canary when separation not possible
C7-B-009,analysis/cross/w9_upgrade_radar.md,"High/Medium/Low migration complexity is stable per repo","Complexity can change with new major version or ecosystem dependency shift","Major version or transitive dependency break",https://github.com/vllm-project/vllm/releases,partial,Re-evaluate complexity on major or dependency-boundary change
C7-B-010,data/risks/failure-patterns.md,"Global failure type frequency from 40 repos is representative","Sample is biased toward eval/observability repos; agent/runtime may differ","Orchestration or inference-heavy stack",https://github.com/langchain-ai/langgraph,partial,Stratify failure stats by layer or publish coverage disclaimer
C7-B-011,data/risks/upgrade-risk-rollout-plan.md,"Rollback on error rate >2x baseline for 10 minutes is sufficient","Ten-minute window can be too long for user-facing or revenue-critical paths","Customer-facing API or billing path",https://github.com/openfga/openfga/releases,partial,Tier rollback window by blast radius and business criticality
C7-B-012,data/risks/upgrade-risk-matrix.csv,"no_clear_breaking implies low migration complexity","Classification is based on release notes only; code or config break may be undocumented","Repos with sparse or automated changelog",https://github.com/protectai/llm-guard,partial,Add code-diff or compatibility-test requirement for no_clear_breaking
C7-B-013,analysis/cross/architecture-decision-benchmark.md,"Recommendation A (LangGraph + MCP + Qdrant + LiteLLM + Istio + Langfuse) is production-default","Single combo assumes org has mesh and multi-stack capacity","Small team or single-provider constraint",https://github.com/istio/istio,partial,Label as scale profile and add minimal profile
C7-B-014,data/risks/upgrade-risk-rollout-plan.md,"P0 wave in Week 1-2 and P1 in Week 3-5 is execution-ready","Wave timing assumes dedicated upgrade owner and no parallel incidents","Shared team or incident overload",https://github.com/open-policy-agent/gatekeeper/releases,partial,Add dependency on owner availability and incident freeze
C7-B-015,analysis/cross/w9_upgrade_radar.md,"Keep previous known-good artifact bundle is sufficient rollback prep","Bundle may not include state or config generated at runtime","Stateful or runtime-generated config",https://github.com/mem0ai/mem0/releases,partial,Define state snapshot and config export for stateful components
C7-B-016,data/risks/upgrade-risk-matrix.csv,"temporary-exception-policy with expiry and compensating controls is sufficient","Expiry without enforcement leads to permanent exceptions","No automated exception revocation",https://github.com/modelcontextprotocol/modelcontextprotocol,fails,Add automated exception expiry check and escalation
C7-B-017,data/risks/upgrade-risk-matrix.md,"Two-step rollout canary then partial prod then full prod is recommended","Two-step may be insufficient when blast radius is cross-region or cross-tenant","Multi-region or high-tenant-count rollout",https://github.com/guardrails-ai/guardrails/releases,partial,Add step count and scope by blast-radius class
C7-B-018,data/risks/failure-patterns.md,"docs_example_drift and dependency_version_conflict are top failure types","Frequency is from issue/discussion text; may not match production incident root cause","Production incident taxonomy not aligned with repo issues",https://github.com/langfuse/langfuse,partial,Cross-check with internal incident taxonomy and add production-weight option
